STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
"Li Hua is a person who is passionate about outdoor adventures, and he goes hiking or camping every weekend. He always seeks fresh and exciting experiences. Wang Fang, a quiet librarian, spends her weekends in a quiet library, reading and organizing books. She likes a calm and orderly environment. This weekend, Li Hua invites Wang Fang to go out for the weekend.",Where does Li Hua plan to spend the weekend with Wang Fang?,Hiking,Library,Sports Park,Skiing,B
"Li Hua is a photographer who is passionate about outdoor adventures. He often spends his weekends hiking or climbing in the mountains, pursuing those rare natural landscapes. His friend Wang Min is an interior designer who prefers indoor activities, especially visiting art exhibitions and design expos. This weekend, Wang Min wants to invite Li Hua to spend together.","To make this weekend enjoyable, where should Wang Min suggest going?",Natural Scenic Area,Natural Landscape Photography Exhibition,Interior Design Expo,City Shopping Center,B
"Li Hua is an environmentalist, he firmly believes that it is necessary to reduce the pollution of the city, especially plastic waste. He often organizes cleaning activities by the river and works hard to promote environmental awareness. On the other hand, Zhang Wei is a successful plastic product sales manager, his performance mainly depends on the mass production and sale of disposable plastic products. Zhang Wei recently receives an important sales award, he decides to invite Li Hua to celebrate.",What kind of celebration method does Zhang Wei choose?,Celebrate in a green-themed restaurant,Invite him to visit the company and show his own performance,Invite Li Hua to a luxury cruise party,Celebrate at an outdoor barbecue party,A
"Wang Wu is a person who loves outdoor sports, he goes to play ball or climb mountains every weekend, pursuing excitement and challenge. Li Min is completely opposite, she is a homebody, likes to read books or play video games at home on weekends, enjoying peace and ease. Wang Wu wants to pursue Li Min. This weekend, Wang Wu wants to invite Li Min to go out together, and proposes to let Li Min decide the place to go.","Facing Wang Wu's invitation, where does Li Min most likely choose to go?",Shopping center,Exhibition,Library,Play games at home,C
"Li Hua is a photographer who loves nature, often goes to forests and mountains to shoot natural landscapes, but also does not dislike urban scenery. Wang Qiang is a city planner, hardly goes to the suburbs. One day, Wang Qiang invites Li Hua to participate in an important event, hoping that Li Hua can take some photos for this event.",Which event does Wang Qiang most likely invite Li Hua to shoot?,Garbage recycling plant completion ceremony,Launch ceremony of a newly built nature reserve in the suburbs,Mountain scenery photography competition,Urban landscape photography exhibition,D
"Zhang Wei is an ambitious entrepreneur, he believes that only continuous work realizes personal value. On the other hand, Zhao Li is an artist, her life rhythm is leisurely, she believes that the value of life lies in creating and appreciating beauty, not material success. This weekend, Zhang Wei plans to invite Zhao Li to an event.",What type of event does Zhang Wei most likely invite Zhao Li to?,A meeting with art buyers,Gallery opening ceremony,Antique furniture auction,Art exhibition celebration banquet,B
"Chen Chen is a fitness enthusiast, her lifestyle strictly follows healthy eating and regular exercise. Every weekend, she spends time in the gym or participates in outdoor sports. On the other hand, Li Lei is a foodie, his life is full of various food explorations, especially various desserts and fast food. He thinks the fun of life is in tasting different foods. This holiday, Chen Chen decides to invite Li Lei to an event.",What activity does Chen Chen most likely invite Li Lei to participate in?,Outdoor barbecue,Tasting at a newly opened fried chicken shop,Dessert shop tasting,City exploration activity,D
"Zhao Ting is a traveler who loves nature and camping in the wild. She likes to hike in nature, especially in forests and national parks. On the other hand, her suitor Liu Bo prefers city travel and cultural exploration. He is keen on visiting historic cities, museums, and art exhibitions. He thinks the meaning of travel is to understand different cultures and histories. This holiday, Liu Bo invites Zhao Ting to travel together.",Where does Liu Bo most likely invite Zhao Ting to go?,Hiking in the national park,Touring historic cities,Visiting art museums,City cultural festival activities,A
"Wang Li is a scientific researcher, her life is full of laboratory research and data analysis, she believes in the power of science and facts. On the other hand, Zhang Qiang is a creative advertising designer, his work is full of creative thinking and artistic design, he thinks creativity and art are important forces that drive the world. This weekend, Wang Li plans to invite Zhang Qiang to an event.",What type of event does Wang Li most likely invite Zhang Qiang to?,Exhibition of works by famous artists,Digital art exhibition,Advertising creativity seminar,Ancient artifact restoration workshop,B
"Lin Feng is a strict vegetarian, his diet is completely plant-based, he believes this lifestyle is beneficial to health and the environment. His friend Chen Nan, on the other hand, is a meat lover, his diet is dominated by meat, he believes meat is an important source of healthy eating and physical maintenance. Lin Feng plans to invite Chen Nan to participate in a certain activity.",What activity does Lin Feng most likely invite Chen Nan to participate in?,Vegetarian cooking class,Barbecue party,Seafood festival,Plant-based milk tasting event,A
"Sun Yue is a fashion blogger, her life is full of the latest trendy clothes and fashion events. She thinks that pursuing fashion and beauty is an important part of life. On the contrary, Li Ming is a programmer, his lifestyle is simple and practical, he pays more attention to functionality rather than fashionable appearance. For him, comfort and efficiency are the primary considerations for dressing. They are a couple. Sun Yue wants to give Li Ming a piece of clothing, and buys the same style for herself, as their couple's clothing.",What clothes does Sun Yue give to Li Ming?,A tailored suit,Limited edition tight T-shirt,A well-known brand's windbreaker,A well-known brand's programmer plaid shirt,C
"Chen Ming is a volunteer who is passionate about environmental protection. He dedicates himself to promoting sustainable lifestyles, firmly believing that conserving resources and protecting nature are the primary tasks of mankind. On the other hand, Zhao Xue is a successful fashion magazine editor. Her world is full of the latest trends and expensive designer brands. She thinks that fashion and personal expression are indispensable parts of modern life. This weekend, Chen Ming plans to invite Zhao Xue to a special event.",What type of event does Chen Ming most likely invite Zhao Xue to?,International designer fashion show,Sustainable fashion exhibition,Environmental protection themed seminar,Luxury brand launch event,B
