STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
"Xiao Hong is supposed to help her club prepare for this event, but she goes to visit a friend instead.",What kind of emotion does Xiao Hong's friend have?,Angry,Proud,Grateful,Regretful,C
"Xiao Hong is supposed to help her club prepare for this event, but she goes to visit a friend instead.",What kind of emotion does the club member have?,Angry,Proud,Grateful,Regretful,A
Xiao Li's boyfriend invites Xiao Li's best friend Xiao Fang to watch a romantic movie.,What kind of emotion does Xiao Li have?,Angry,Happy,Sadness,Embarrassed,A
Xiao Li's boyfriend invites Xiao Li's best friend Xiao Fang to watch a romantic movie.,What kind of emotion does Xiao Fang have?,Angry,Happy,Sadness,Embarrassed,D
"Xiao Ming wins the championship, but does not mention that Xiao Gang makes a big contribution to Xiao Ming's success.",What kind of emotion does Xiao Ming have?,Thrilled,Angry,Embarrassed,Regretful,A
"Xiao Ming wins the championship, but does not mention that Xiao Gang makes a big contribution to Xiao Ming's success.",What kind of emotion does Xiao Gang have?,Thrilled,Angry,Embarrassed,Regretful,B
"Xiao Fei is in the hospital after experiencing a tragic accident recently, so Xiao Gang takes Xiao Fei's girlfriend to visit him.",What kind of emotion does Xiao Fei have?,Thrilled,Touched,Worried,Regretful,B
"Xiao Fei is in the hospital after experiencing a tragic accident recently, so Xiao Gang takes Xiao Fei's girlfriend to visit him.",What kind of emotion does Xiao Fei's girlfriend have?,Thrilled,Moved,Worried,Regretful,C
"The company manager announces that Xiao Ming gets a promotion, and Xiao Li looks forward to this promotion for a long time.",What kind of emotion does Xiao Ming have?,Happy,Angry,Jealous,Curious,A
"The company manager announces that Xiao Ming gets a promotion, and Xiao Li looks forward to this promotion for a long time.",What kind of emotion does Xiao Li have?,Happy,Angry,Jealous,Curious,C
"Xiao Ding invites Xiao Su to his friend gathering, but Xiao Su finds no one he knows when he arrives.",What kind of emotion does Xiao Ding have?,Thrilled,Angry,Sadness,Embarrassed,A
"Xiao Ding invites Xiao Su to his friend gathering, but Xiao Su finds no one he knows when he arrives.",What kind of emotion does Xiao Su have?,Thrilled,Angry,Sadness,Embarrassed,D
"Xiao Wang and Xiao Zhao have birthdays on the same day. Xiao Ming gives them the same birthday gift, a toy race car. Xiao Wang happens to want a toy race car, but Xiao Zhao actually likes a stuffed toy.",What kind of emotion does Xiao Wang have?,Happy,Angry,Sadness,Disappointed,A
"Xiao Wang and Xiao Zhao have birthdays on the same day. Xiao Ming gives them the same birthday gift, a toy race car. Xiao Wang happens to want a toy race car, but Xiao Zhao actually likes a stuffed toy.",What kind of emotion does Xiao Zhao have?,Happy,Angry,Sadness,Disappointed,D
"Xiao Ming, who likes extreme sports, takes Xiao Hong to ride a roller coaster. During the process, Xiao Ming screams loudly, while Xiao Hong closes her eyes tightly.",What kind of emotion does Xiao Ming have?,Thrilled,Surprise,Fear,Regretful,A
"Xiao Ming, who likes extreme sports, ttakes Xiao Hong to ride a roller coaster. During the process, Xiao Ming screams loudly, while Xiao Hong closes her eyes tightly.",What kind of emotion does Xiao Hong have?,Thrilled,Surprise,Fear,Regretful,C
"Under the teacher's patient guidance, Xiao Gang finally admits his mistake and promises to correct it.",What kind of emotion does the teacher have?,Thrilled,Angry,Guilt,Joy,D
"Under the teacher's patient guidance, Xiao Gang finally admits his mistake and promises to correct it.",What kind of emotion does Xiao Gang have?,Thrilled,Angry,Guilt,Joy,C
"On the way to school, Xiao Ma sees an old man who has difficulty walking, he helps the old man cross the road.",What kind of emotion does Xiao Ma have?,Proud,Angry,Sadness,Grateful,A
"On the way to school, Xiao Ma sees an old man who has difficulty walking, he helps the old man cross the road.",What kind of emotion does the old man have?,Proud,Angry,Sadness,Grateful,D
"Xiao Ming is the captain of the school basketball team, he should participate in an important basketball game, but he chooses to participate in a charity performance to raise funds for the orphanage.",What kind of emotion does Xiao Ming have?,Proud,Panic,Guilt,Grateful,A
"Xiao Ming is the captain of the school basketball team, he should participate in an important basketball game, but he chooses to participate in a charity performance to raise funds for the orphanage.",What kind of emotions do the other members of the basketball team have?,Proud,Anxious,Guilt,Grateful,B
"Xiao Gang is a firefighter, he participates in an emergency fire rescue mission. In the fire, he successfully rescues the residents trapped in the building.",What kind of emotion does Xiao Gang have?,Grateful,Angry,Nervous,Embarrassed,C
"Xiao Gang is a firefighter, he participates in an emergency fire rescue mission. In the fire, he successfully rescues the residents trapped in the building.",What kind of emotion do the residents have?,Grateful,Angry,Nervous,Embarrassed,A
"Xiao Gang is a teacher, he organizes an outdoor expansion activity at school. Students participate in this activity for the first time, they find it very fresh, but Xiao Gang bears the pressure and responsibility of organizing the activity.",What kind of emotion does Xiao Gang have?,Thrilled,Grateful,Nervous,Guilt,C
"Xiao Gang is a teacher, he organizes an outdoor expansion activity at school. Students participate in this activity for the first time, they find it very fresh, but Xiao Gang bears the pressure and responsibility of organizing the activity.",What kind of emotion do the students have?,Thrilled,Grateful,Nervous,Guilt,A
"Xiao Li is an actress, she is very demanding of herself. During a stage play, she portrays a tragic character very vividly, even immersing herself into the role. The audience under the stage praises Xiao Li's wonderful performance.",What kind of emotion does Xiao Li have?,Thrilled,Angry,Sadness,Proud,C
"Xiao Li is an actress, she is very demanding of herself. During a stage play, she portrays a tragic character very vividly, even immersing herself into the role. The audience under the stage praises Xiao Li's wonderful performance.",What kind of emotion does the audience have?,Thrilled,Angry,Sadness,Proud,A
"Xiao Li is a volunteer teacher, she teaches children in rural areas, so that children receive education, at the same time, she also sees the harsh teaching environment and the lack of resources.",What kind of emotion does Xiao Li have?,Happy,Angry,Guilt,Worry,D
