index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
0,"In the supermarket, there are originally 60 bottles of drinks. The number of soda, juice, and coffee is the same. After a few days, Manager Zhao says to Manager Li, ""Soda is the most popular, juice sells okay, almost no one likes to drink coffee."" Manager Li counts and indeed, there are still 8 bottles of juice unsold.",Please guess how many bottles of soda are left before Manager Li counts?,"Before Manager Li counts, he guesses there are 10 bottles of soda left","Before Manager Li counts, he guesses there are 2 bottles of soda left","Before Manager Li counts, he guesses there are 15 bottles of soda left","Before Manager Li counts, he guesses there are 7 bottles of soda left",B,Scalar Implicature Test
1,"Han Meimei and Youyou roam around in the bedroom, they see a cabinet and a box, they find a tie in the cabinet, Youyou leaves the bedroom, Han Meimei moves the tie to the box.","After Youyou returns to the bedroom, where does Han Meimei think Youyou looks for the tie?",Briefcase,Cabinet,Box,Storage locker,B,False Belief Task
2,"Huang wants to sell his shop in the city center to Wang, so he can retire and move to the countryside.",How does Huang convince Wang?,"He shares his story with the shop, arousing Wang's resonance and desire to buy.","He shows the shop's turnover and profit, proving it has a good profit prospect.","He suggests that life in the countryside is more beneficial to health, using this point to convince Wang to retire and move to the countryside together.","He proposes to invest together with Wang, sharing the risk.",B,Persuasion Story Task
3,"On the weekend, Xiao Ming and Xiao Gang are on the basketball court. Xiao Gang says, ""My mom is sick recently, our family wants to keep this matter private."" Xiao Ming replies, ""I understand, I do not tell anyone."" In the following days, when classmates ask out of curiosity, Xiao Ming says, ""Everything is normal in Xiao Gang's family.""",What happens to Xiao Gang's family recently?,Xiao Gang's dad changes his job.,Xiao Gang moves house.,Xiao Gang's mom is sick.,Xiao Gang fails the exam.,C,Faux-pas Recognition Test
4,"Zhang San is an engineer in the company, he works hard and diligently. In a work report, Zhang San proposes his new idea for software development, but Li Si, as his leader, thinks that this plan has technical and economic implementation difficulties.",How does Zhang San persuade Li Si?,"Zhang San can emphasize how much effort he puts in, hoping that Li Si supports his plan based on trust in him.",Zhang San can present successful cases of similar plans in other companies.,Zhang San can persuade Li Si through other colleagues or channels.,"Zhang San can invite Li Si to participate in a key link of the plan, letting him experience and understand the implementation process of the plan.",B,Persuasion Story Task
5,"Xiao Ming finds a box in the garage, the label on the box is hats, Xiao Ming cannot see what is inside the box, Xiao Ming opens the box and finds a notebook, there are no hats inside the box, Xiao Ming closes the box and puts it back in its place, Xiao Li enters the garage and sees the box.",What does Xiao Li see inside the box?,Notebook,Sees nothing,Hat,Scarf,B,Percepts-knowledge links
6,"On the weekend, Xiaofang's family is planning a family gathering. Xiaofang excitedly says to her mother, ""Mom, we should go hiking, the scenery there is beautiful!"" The mother nods and says, ""Good idea, I also like hiking."" The father is looking at the seaside travel guide on the side, and only smiles slightly when he hears it. The mother says, ""Dad definitely also likes hiking, we decide to go hiking!"" On the day of the gathering, the whole family goes to the mountain, and the father occasionally looks at the distant sea.",Where does Xiaofang's family finally go?,Seaside,Hiking,Park,Amusement park,B,Faux-pas Recognition Test
7,"Emma coughs. During the whole lunchtime, she keeps coughing. Dad says, ""Poor Emma, you must have a frog in your throat!",Does Dad tell the truth?,Yes,No,,,B,Strange Story Task
8,"Songfeng, Jianyuan, and Xuefeng are members of the same group, they need to complete a school project together. Now, the core task of the project comes, everyone wants to take on this important task, but they do not want to overwork themselves. Songfeng looks at Jianyuan, then looks at Xuefeng who is playing with his phone, then he smiles at Jianyuan, he seems to have an idea. Then he goes to the corner of the classroom to get his backpack, then he leaves a small note on Jianyuan's desk as if by accident. He comes back, gives Jianyuan a look, then continues to do his work. Jianyuan sees this note, quickly unfolds it, takes a look, then he also smiles. He looks at Songfeng and says, ""I just have an idea, we do this task together, what do you think?",Why does Songfeng go to the corner of the classroom to get his backpack and leave a note?,"Songfeng intentionally forgets his things, he wants to use this opportunity to go back to get his backpack, and write down suggestions.","Songfeng finds out he forgets to submit an important task, so he goes to get his backpack.","Songfeng uses this method to let Jianyuan know his suggestion, to avoid letting Xuefeng know this is his idea.","Songfeng goes to get his backpack is just a random act, it has nothing to do with him leaving a note.",C,Ambiguous Story Task
9,"Xiao Li and Xiao Fang are college classmates, and they are dating for a year. On the weekend, they discuss future plans together in a coffee shop. Xiao Li says softly: ""I am thinking, we can do a lot of things together after graduation, such as traveling or..."" He pauses for a moment, then continues: ""Or other longer-term plans."" Xiao Fang listens with a smile, but she does not say anything. Xiao Li adds: ""For example, planning a special... um, you know, like our wedding or something."" Xiao Fang is silent for a while, then quickly changes the subject.",Does Xiao Li know that Xiao Fang does not want to get married for now?,Knows,Does not know,,,B,Faux-pas Recognition Test
