"cluster_id","question_index","story","question","option_a","option_b","option_c","option_d","correct_answer","cluster_summary"
"8","0","Lina and Mark are the top two candidates for captain of the debate team. The coach will decide based on the results of the weekend tournament. Before a crucial round, Mark leaves his binder of arguments on a chair. Lina sees a custodian mistake it for trash and take it away. Lina knows it is Mark's binder but decides not to say anything. Later, Mark struggles without his notes, and Lina wins her rounds.","When Lina sees Mark struggling because his binder was taken, what is she most likely feeling given her earlier choice?","Worried that others will blame her for not speaking up.","Embarrassed because she dislikes conflict.","Pleased and satisfied because Mark's setback improves her chance at captain.","Confused because she doesn't know whose binder it was.","C","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","1","At a company where the top seller receives a large quarterly bonus, Zoe and Liam are neck and neck. An important client mistakenly emails Zoe to schedule a meeting, clearly meant for Liam based on the subject line. Zoe notices the mistake but remains silent and books the meeting herself. Liam misses the opportunity, and Zoe closes the deal, pulling ahead on the leaderboard.","What is the likely intention behind Zoe's decision not to forward the client's email to Liam?","To secure an advantage and win the top bonus by capitalizing on Liam's missed meeting.","To avoid getting involved in other people's scheduling issues.","She assumed Liam had already declined the meeting.","She worried IT would reprimand her for forwarding a misdelivered email.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","2","In their senior class, Maya and Alex are separated by a tiny margin for valedictorian. Maya hears the teacher say an assignment is missing from Alex and sees it in a stack the teacher misfiled. Maya realizes it's Alex's but decides not to mention it. The grade goes in as missing, and Alex's average drops below Maya's.","After the rankings are announced naming Maya valedictorian, what emotion is Maya most likely to feel in light of her earlier choice?","Relieved and pleased because Alex's loss secured her top rank.","Anxious that someone will discover she knew about the mistake.","Ashamed because she broke a school rule.","Unaffected because class rank doesn't matter to her.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","3","Carla and Dan are in a tight race for mayor. Sam, a volunteer for Carla, overhears that Dan's campaign rally venue has been double-booked and knows a contact who could fix it quickly. Sam decides not to alert them. The rally is chaotic and poorly attended, and Carla's team is thrilled with the outcome.","What best explains Sam's motivation to stay silent?","He feared being accused of interfering in the other campaign.","He thought the venue staff would resolve it without him.","He worried that helping Dan would harm Carla's image.","He wanted to weaken Dan's event to improve Carla's chances of winning.","D","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","4","In a startup pitch competition with only one winner, Nora notices that a rival team forgot to upload their final deck. When an organizer asks the room if anyone has seen issues with submissions, Nora says nothing. The rival team is disqualified for missing materials, and Nora's team later takes first place.","What emotion is Nora likely to feel as the rival team is disqualified?","Happy and strategically satisfied because their disqualification increases her odds.","Nervous that the judges will consider the process unfair.","Guilty because she broke the competition's rules.","Indifferent because the outcome doesn't affect her team.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","5","The orchestra is holding auditions for the principal violin chair; only one person will get it. Backstage, Kai notices that Lina's sheet music has been misplaced and knows exactly where it went. He decides not to say anything. Lina struggles in her audition and Kai wins the chair.","Why did Kai likely choose not to inform Lina about her misplaced music?","He assumed the staff would find the music in time.","He wanted to increase his own chance at winning the principal seat.","He feared Lina would accuse him of meddling.","He forgot about it once he went on stage.","B","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","6","Two university labs are competing for a single major grant. Amir learns through a colleague that the funding deadline was quietly extended, allowing updates to proposals. He tells his team but not the rival lab down the hall. The rival submits their old version and falls short; Amir's lab wins the award.","When Amir sees the rival lab miss the advantage of the extension, what is he most likely feeling?","Worried the funding agency will trace the extension leak to him.","Annoyed at the rival's carelessness.","Satisfied because their disadvantage improves his lab's chances.","Embarrassed because the situation is awkward.","C","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","7","On a televised cooking competition where only one chef advances, Tia notices that Marco's refrigerator light is off and the plug is lying on the floor. She could reconnect it but decides not to. Some of Marco's ingredients warm up, his dish suffers, and Tia moves on to the next round.","What is the most plausible intention behind Tia's inaction?","She was afraid a producer would scold her for touching equipment.","She thought the unplugged cord was part of a test.","She wanted to avoid looking nosy on camera.","She aimed to disadvantage Marco so she could get ahead in the competition.","D","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","8","In an esports tournament, Jonas and Priya are battling for the last playoff spot. During warmups, Jonas notices Priya's controller is glitching. He has a spare but chooses not to offer it. Priya makes several input errors and loses, and Jonas moves up in the standings.","During the match, what is Jonas most likely feeling given his earlier choice?","Anxious that viewers will judge him for poor sportsmanship.","Pleased at the easy win because it improves his ranking.","Guilty about breaking tournament rules.","Sympathetic and distracted, wanting to help her.","B","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","9","A prestigious scholarship goes to the first-place winner of the regional science fair. Eva and Noah are the front-runners. While scores are being compiled, Eva overhears a judge mix up project numbers and dock points from Noah by mistake. She realizes the error but stays quiet. The final results put Eva in first place.","What emotion is Eva most likely experiencing when she hears her name announced as the winner?","Fear that the judging panel will audit the scores and expose her.","Shame because she dislikes public attention.","Indifference toward the scholarship outcome.","Relief and satisfaction because Noah's disadvantage secured her win.","D","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
