"cluster_id","question_index","story","question","option_a","option_b","option_c","option_d","correct_answer","cluster_summary"
"8","0","At the regional debate tournament, Jamie and Lila are in the same bracket competing for a single spot at nationals. After practice, Jamie forgets his folder of evidence on a chair. The custodian assumes it is scrap paper and takes it to the recycling bin. Lila sees this happen and recognizes Jamie's folder, but she remembers that only one student from their school can advance and she wants that spot. She decides to say nothing. Later, Jamie is frantic when he cannot find his materials.","What emotion does Lila most likely feel when she stays silent?","Lila likely feels pleased because Jamie's setback improves her own chance to advance.","Lila likely feels nervous that someone might notice she saw the folder and blame her.","Lila likely feels guilty for not stepping in to help Jamie retrieve the folder.","Lila likely feels indifferent because she believes missing materials do not matter in debates.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","1","In a sales department, the top seller each quarter receives a large bonus, and there is only one award. A CRM glitch assigns a lucrative client to Nora even though Priya found the lead first. Priya notices that the contract Nora is preparing mistakenly references an old pricing sheet that will invalidate Nora's closed deal. Priya realizes she could alert Nora, but the boss has said the bonus will likely be decided by this client. Priya decides to keep the mistake to herself.","What is the most plausible intention behind Priya's decision not to warn Nora?","Priya worries that the manager might audit her emails and think she interfered.","Priya wants Nora to lose the deal so that Priya can secure the top-seller bonus.","Priya assumes the billing system will automatically correct the old pricing sheet.","Priya thinks the client prefers Nora regardless of documentation errors.","B","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","2","The drama club is casting the lead role, and only one student can get it. Emma and Carla are the two strongest candidates. The assistant director mislabels Emma's audition file and puts it in the wrong folder, so the director might not see it. Carla notices the mistake when she is checking the shared drive, but since Emma is her main rival, she decides not to report it.","Given the situation, how is Carla most likely to feel about not fixing the mislabeled file?","Carla might feel anxious that the assistant director will discover she noticed and stayed quiet.","Carla might feel ashamed for taking advantage of a clerical error.","Carla might feel satisfied because the error lowers Emma's chances and boosts her own.","Carla might feel confused because she does not understand how file folders work.","C","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","3","At the regional science fair, only one project from each school can win a travel grant to nationals. Mark's apparatus stops working due to a burned-out fuse an hour before judging. Aiden has spare fuses in his toolkit. Chloe, who competes directly with Mark for the grant, sees Aiden offering to lend a fuse and quietly tells Aiden that lending parts might violate the rules, even though it does not. Aiden backs off, and Mark cannot repair his setup in time.","What is the most plausible intention behind Chloe's interference?","Chloe wants Mark's project to stay broken so her own chance at the single grant increases.","Chloe is worried that the judges will penalize Aiden for being too helpful to Mark.","Chloe believes that Mark prefers to present without fully functioning equipment.","Chloe fears that lending parts could cause a safety hazard in the venue.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","4","Two seniors, Dana and Luis, are finalists for a prestigious scholarship that can only be awarded to one student from their school. The committee requested updated essays by email. Luis accidentally sends his revision to an old address that auto-replies but does not deliver. Dana sees the auto-reply on a shared group chat because Luis pasted it there, and realizes he has not properly submitted his essay. She decides not to remind him before the deadline passes.","What is the most likely intention behind Dana's choice not to remind Luis?","Dana fears that intervening might be seen as meddling with the committee's process.","Dana thinks Luis purposely sent to the old address to test if the committee cares.","Dana wants Luis to miss the deadline so her own chances of receiving the single scholarship improve.","Dana believes the system will automatically forward emails from old addresses.","C","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","5","A startup incubator will select only one team for a cash prize and direct investment. Tara leaves her printed pitch deck at a cafe table during a break. A cleaner sweeps the table and places the deck into a bin of unclaimed items that will be locked away until tomorrow. Omar, whose team competes with Tara's, watches this and immediately understands that Tara will present without her deck if no one speaks up. He decides to keep quiet.","How is Omar most likely to feel about staying silent?","Omar likely feels worried that the cafe staff will accuse him of hiding the documents.","Omar likely feels guilty that Tara's hard work might go unseen.","Omar likely feels detached, believing visual aids do not matter to investors.","Omar likely feels pleased because Tara's disadvantage increases his team's chance at the single prize.","D","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","6","In a city 10K with a winner-takes-all cash purse, Ava and Maya are the top contenders. At the expo, Ava forgets to activate her timing chip at the registration desk. A volunteer mentions that unactivated chips will disqualify finish times. Maya overhears and notices Ava walk away without activating. Knowing that only one runner can claim the prize, Maya decides not to call out to Ava.","What is the most plausible intention behind Maya's choice?","Maya worries that pointing it out might be considered coaching outside the rules.","Maya wants Ava to be disqualified so that Maya has a better chance to win the purse.","Maya thinks the timing company will automatically fix any chip issues.","Maya believes Ava actually prefers to run without an official time.","B","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","7","Only one internal grant will be awarded in Dr. Chen's department this year. Lee submits a PDF proposal, but the uploaded file turns out to be corrupted and cannot be opened by reviewers. Dana, who applied for the same grant, sees an error log on the shared portal that clearly shows Lee's file failed. The portal does not notify applicants automatically. Dana decides not to alert Lee before the submission window closes.","What best explains Dana's decision?","Dana wants Lee's application to remain unread so her own application faces less competition for the single grant.","Dana fears that contacting Lee could violate anonymity rules, even though the portal shows names.","Dana assumes the IT office will proactively fix or replace corrupted files.","Dana thinks Lee intentionally uploaded a corrupted file to request an extension later.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","8","An online gaming league schedules playoff matches, and a forfeit counts as an automatic advancement for the opposing player. Ryan and Ken are seeded to meet in the semifinals if both advance. Ryan posts in their team chat that the match time was changed, but he accidentally tags the wrong handle for his current opponent, who will not see it. Ken notices the mistake and realizes Ryan's opponent may miss the match and forfeit, which would advance Ryan and make Ken's path harder. He chooses not to forward the corrected time to the opponent.","What is the most likely intention behind Ken's inaction?","Ken is worried that getting involved could violate moderator rules on communication.","Ken wants Ryan's opponent to show up so that Ryan has a tougher route to the final.","Ken wants the opponent to miss the match so that Ryan advances and then can be strategically countered by Ken later.","Ken believes the platform will send automatic reminders to all players about the new time.","C","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","9","In the youth orchestra, only one violinist will be awarded the first-chair position after blind auditions. Lina practices a difficult excerpt obsessively, and her main rival, Sofia, knows Lina's audition time was moved up by an hour due to a schedule shuffle. Lina has not seen the updated message because her phone died. Sofia sees Lina chatting in the hallway and chooses not to tell her about the change, knowing that if Lina is late, she will be scored down or skipped.","What emotion is Sofia most likely to feel about keeping quiet?","Sofia might feel apprehensive that the conductor will suspect her of sabotage.","Sofia might feel sympathetic and worried that Lina will be embarrassed.","Sofia might feel indifferent because she thinks schedules are flexible anyway.","Sofia might feel gratified because Lina's likely lateness improves Sofia's chance at first chair.","D","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","10","Leo and Maya are the top two candidates for a prestigious scholarship, but only one will be awarded. An email clarifies that the submission deadline is tonight at 8 p.m. Leo sees Maya confidently working under the mistaken belief that the deadline is tomorrow. He knows she misunderstood, and he considers correcting her but ultimately decides to say nothing. After 8 p.m., the portal closes and Maya has not submitted.","When the portal closes, what emotion does Leo most likely feel?","Relieved and pleased because Maya's missed deadline increases his chance of winning.","Worried that someone will blame him for not correcting Maya's misunderstanding.","Guilty for not helping a classmate.","Indifferent because deadlines are a personal responsibility.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","11","Only one runner from the team will be chosen for regionals, and Rina and Tara are neck-and-neck. Right before the qualifying race, Rina notices Tara has left her racing spikes in the locker room. Rina decides not to mention it. Tara runs in heavy trainers and posts a slower time.","What is the likely intention behind Rina's decision to stay silent?","She is concerned that interrupting Tara would disturb her focus.","She fears the coach might see her involvement as meddling.","She hopes to secure the only regional spot by letting Tara be disadvantaged.","She believes Tara always carries a spare pair and doesn't need help.","C","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","12","Arjun and Lena are finalists pitching to investors for a single startup grant. Just before the session, Arjun sees that Lena's demo laptop isn't plugged in and the power strip switch is off. He realizes that pointing it out would save her demo, but he remains quiet. During her pitch, Lena's laptop dies and the demo fails.","What emotion does Arjun most likely experience when Lena's demo fails?","Nervous that others will suspect he had a hand in the mishap.","Guilty for not helping at a critical moment.","Embarrassed by the awkward situation.","Satisfied because her failure directly increases his chance of winning the grant.","D","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","13","Miguel and Dana are tied for the top spot on the monthly sales leaderboard, and only the top seller will receive a large bonus. Miguel notices that Dana's calendar has the wrong time for an important client meeting. He knows she trusts her calendar and will miss it if not warned. He decides not to tell her. Dana misses the meeting, and Miguel closes the deal himself.","What is the most plausible motive for Miguel's silence?","He wants to surpass Dana to secure the bonus.","He believes the calendar will send an automatic correction anyway.","He fears being blamed for interfering with scheduling.","He thinks it is not his responsibility to check others' appointments.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","14","The debate coach will select either Noor or Kelvin as captain after a final in-house debate. Before they go on, Noor sees Kelvin's annotated speech notes left in the printer tray. She takes her own pages and leaves his behind without saying anything. On stage, Kelvin realizes he doesn't have his notes and struggles.","What emotion is Noor likely to feel during Kelvin's struggle?","Worried that teammates will think she is unsupportive.","Pleased because Kelvin's disadvantage increases her chance of being chosen captain.","Ashamed for not helping a teammate in need.","Indifferent because competition rules are strict.","B","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","15","At the conservatory, Yuki and Sofía are the main contenders for first chair violin. Minutes before Sofía's audition, Yuki notices that Sofía's sheet music is ordered incorrectly in her folder. Yuki realizes pointing it out would help Sofía, but decides not to say anything. Sofía fumbles the transitions during her performance.","What is the likely intention behind Yuki's choice?","To avoid appearing controlling right before an audition.","To follow etiquette by not speaking prior to auditions.","To gain an edge by allowing a rival's avoidable mistake.","To test whether Sofía would notice the errors herself.","C","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","16","Only one student will represent the school at the national science fair. Ben knows the judges require a printed lab logbook at check-in. He sees that Priya, his strongest competitor, left her logbook in the classroom. He chooses not to remind her or lend his spare binder. Priya loses points at check-in.","How might Ben feel at that moment?","Satisfied because Priya's oversight improves his chance to be selected.","Fearful that teachers will accuse him of sabotage.","Guilty for not being helpful to a peer.","Unconcerned as he believes rules are fair for everyone.","A","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
"8","17","Kai and Oliver are competing for top seed in an esports qualifier that comes with a sponsorship perk. During warmup, Kai notices Oliver's controller battery flashing red. Chargers are available at the front desk, but Kai decides not to say anything. In the match, Oliver's controller cuts out briefly and he loses crucial rounds.","What best explains Kai's silence?","He assumed the event staff would handle equipment issues.","He worried a warning might be misinterpreted as trash talk.","He thought Oliver already knew about the low battery.","He wanted to secure an advantage by letting a rival suffer a preventable issue.","D","Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions."
