,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,SOURCE_FILE
2,"Jianning and Mingkai are the co-captains of the football team. They still lack one team member. They joke that the remaining unselected players are ""the best players"". After a while, Mingkai does not speak, winks at Jianning, and then looks at Taotao, Taotao is one of the remaining unselected players. Mingkai turns his head and smiles at Jianning. Jianning nods his head, prepares to choose Taotao to join their team. Taotao sees the wink and smile of Mingkai and Jianning.",Why does Mingkai turn his head to look at Jianning and smile?,"Mingkai and Jianning have a joke about choosing team members before, Mingkai thinks of that joke",Mingkai smiles because he thinks Taotao is the best existing player.,Mingkai smiles at Jianning because they both know they can only choose Taotao.,"Mingkai and Jianning have a secret plan about Taotao, so he smiles.",C,Ambiguous Story Task
3,"Jianning and Mingkai are the co-captains of the football team. They still lack one team member. They joke that the remaining unselected players are ""the best players"". After a while, Mingkai does not speak, winks at Jianning, and then looks at Taotao, Taotao is one of the remaining unselected players. Mingkai turns his head and smiles at Jianning. Jianning nods his head, prepares to choose Taotao to join their team. Taotao sees the wink and smile of Mingkai and Jianning.",What do you think Taotao thinks?,Taotao feels surprised and confused.,Taotao feels he is being teased and mocked.,Taotao feels he is recognized and proud.,Taotao is full of hope to show his skills.,A,Ambiguous Story Task
2,"Li Hua is at home preparing an important speech, but his kitten suddenly jumps on the table and knocks over the water cup, and the water spills on his notebook. Li Hua is busy wiping his notebook, and at this time his friend Xiao Zhang knocks on the door to borrow a book. Li Hua's sister is also playing the guitar in the living room, and the sound is very loud. Suddenly, he receives a text message from his boss, asking him to submit the first draft of the speech tomorrow.","After Li Hua deals with the notebook problem, what does he do next?",He continues to prepare the speech.,He goes to a quiet room to avoid his sister's guitar sound.,He calls his boss to ask for a delay in submitting the speech.,He helps Xiao Zhang find the book he needs.,D,Completion of failed actions
3,"Li Hua is a middle school student who loves painting. One day after school, he decides to go to the park to paint a landscape. When he finds an ideal painting spot, he suddenly realizes that there is not enough paint on the palette. At this time, his friend Xiao Wang calls him, asking if he wants to go to the bookstore together. Li Hua hears from the phone that the art supply store near the bookstore is having a sale. Just at this moment, Li Hua's mother sends a message, reminding him that there is an important math exam tonight.",What does Li Hua choose to do after he hangs up the phone?,"He continues to paint in the park, even if the paint is not enough.",He goes to the bookstore to meet Xiao Wang.,He goes home to prepare for the math exam.,He goes to the art supply store to buy paint.,C,Completion of failed actions
2,"Li Hua is an environmentalist, he firmly believes that it is necessary to reduce the pollution of the city, especially plastic waste. He often organizes cleaning activities by the river and works hard to promote environmental awareness. On the other hand, Zhang Wei is a successful plastic product sales manager, his performance mainly depends on the mass production and sale of disposable plastic products. Zhang Wei recently receives an important sales award, he decides to invite Li Hua to celebrate.",What kind of celebration method does Zhang Wei choose?,Celebrate in a green-themed restaurant,Invite him to visit the company and show his own performance,Invite Li Hua to a luxury cruise party,Celebrate at an outdoor barbecue party,A,Discrepant desires
3,"Wang Wu is a person who loves outdoor sports, he goes to play ball or climb mountains every weekend, pursuing excitement and challenge. Li Min is completely opposite, she is a homebody, likes to read books or play video games at home on weekends, enjoying peace and ease. Wang Wu wants to pursue Li Min. This weekend, Wang Wu wants to invite Li Min to go out together, and proposes to let Li Min decide the place to go.","Facing Wang Wu's invitation, where does Li Min most likely choose to go?",Shopping center,Exhibition,Library,Play games at home,C,Discrepant desires
2,Xiao Li's boyfriend invites Xiao Li's best friend Xiao Fang to watch a romantic movie.,What kind of emotion does Xiao Li have?,Angry,Happy,Sadness,Embarrassed,A,Discrepant emotions
3,Xiao Li's boyfriend invites Xiao Li's best friend Xiao Fang to watch a romantic movie.,What kind of emotion does Xiao Fang have?,Angry,Happy,Sadness,Embarrassed,D,Discrepant emotions
2,"James shows his painting at the school art exhibition. One day, he forgets to take the painting home. Nick, while cleaning the exhibition room, mistakes the painting for an abandoned one and puts it in the discard box. At the same time, Ella knows this is James's work. Ella's own painting also shows at the art exhibition, and she does not want James's painting to be more popular than hers, so she decides not to tell Nick. When James finds the painting is missing, he feels very upset and starts asking classmates. Later, Nick realizes he may have mishandled James's painting.",What is the possible intention behind Nick's action?,"Nick possibly does not care about the painting, so he does not notice its value.","Nick possibly acts unconsciously or unknowingly, as he mistakenly thinks James's work is abandoned.",Nick possibly thinks cleaning the exhibition room is more important than preserving the work.,Nick possibly overlooks the importance of the work because he wants to finish the task quickly.,B,Discrepant intentions
3,"James shows his painting at the school art exhibition. One day, he forgets to take the painting home. Nick, while cleaning the exhibition room, mistakes the painting for an abandoned one and puts it in the discard box. At the same time, Ella knows this is James's work. Ella's own painting also shows at the art exhibition, and she does not want James's painting to be more popular than hers, so she decides not to tell Nick. When James finds the painting is missing, he feels very upset and starts asking classmates. Later, Nick realizes he may have mishandled James's painting.",What is the possible intention behind Ella's behavior?,"Ella possibly chooses to remain silent out of jealousy of James's talent, hoping to see him in trouble.",Ella possibly does not have time to tell Nick that James's painting is mishandled due to her busy work.,"Ella thinks Nick realizes his mistake and corrects it on his own, so she chooses not to tell him.","Ella possibly looks down on James's painting, thinking it should not be displayed in the art exhibition.",A,Discrepant intentions
