STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,"答案
ANSWER"
"Xiao Hua is in the kitchen preparing dinner when suddenly he hears the doorbell ring. He turns down the fire and goes to open the door, finding it is his friend Xiao Li. Xiao Li holds some movie tickets in his hand and invites Xiao Hua to watch a movie. Xiao Hua thinks for a moment and tells Xiao Li that he must finish dinner first. At this time, Xiao Hua's sister also runs over and says she can help cook, letting Xiao Hua go play. Xiao Hua looks at the half-cooked dinner in the kitchen and hesitates.",What does Xiao Hua do next after hearing Xiao Li's invitation?,He continues to cook dinner.,He accepts Xiao Li's invitation and goes to watch a movie.,He lets his sister finish dinner and he rests.,He goes to discuss with other friends whether to go to the movies.,B
"Zhang Hua is preparing the last artwork for the art exhibition, while his friend Li Lei is complaining to him about workplace troubles over the phone. Suddenly, Zhang Hua's paintbrush falls to the ground. As he bends down to pick it up, there is a hurried knock on the window from his neighbor who rushes to borrow something. At the same time, Zhang Hua remembers that there is an important family gathering tonight, and his participation is very important to his family.","After Zhang Hua handles the sudden situation, what does he do first?",He opens the door to help the neighbor.,He calls back Li Lei to provide help and advice.,He prepares to attend the family gathering.,He reorganizes the studio and relaxes a bit.,A
"Li Hua is at home preparing an important speech, but his kitten suddenly jumps on the table and knocks over the water cup, and the water spills on his notebook. Li Hua is busy wiping his notebook, and at this time his friend Xiao Zhang knocks on the door to borrow a book. Li Hua's sister is also playing the guitar in the living room, and the sound is very loud. Suddenly, he receives a text message from his boss, asking him to submit the first draft of the speech tomorrow.","After Li Hua deals with the notebook problem, what does he do next?",He continues to prepare the speech.,He goes to a quiet room to avoid his sister's guitar sound.,He calls his boss to ask for a delay in submitting the speech.,He helps Xiao Zhang find the book he needs.,D
"Li Hua is a middle school student who loves painting. One day after school, he decides to go to the park to paint a landscape. When he finds an ideal painting spot, he suddenly realizes that there is not enough paint on the palette. At this time, his friend Xiao Wang calls him, asking if he wants to go to the bookstore together. Li Hua hears from the phone that the art supply store near the bookstore is having a sale. Just at this moment, Li Hua's mother sends a message, reminding him that there is an important math exam tonight.",What does Li Hua choose to do after he hangs up the phone?,"He continues to paint in the park, even if the paint is not enough.",He goes to the bookstore to meet Xiao Wang.,He goes home to prepare for the math exam.,He goes to the art supply store to buy paint.,C
"Zhang Wei is a diligent college student, he is studying in the library for the upcoming exam. Suddenly, he receives an urgent call from his good friend Li Hua, Li Hua needs help solving a difficult math problem. Zhang Wei is happy to help, but he also realizes that time is pressing, the exam is less than two days away. While he is helping Li Hua, his other friend Wang Fang sends a message, inviting him to a birthday party tonight. Zhang Wei knows this party is important to Wang Fang, but he also knows he needs to study.","After Zhang Wei helps Li Hua solve the math problem, what does he do next?",He continues to study for the exam in the library.,He goes home to rest because he feels very tired.,He goes to Wang Fang's birthday party.,He calls another friend to discuss whether to go to the party or not.,A
"At four in the afternoon, Li Hua just comes home from school and is about to start his math homework. Suddenly, his puppy runs over, looking very excited, as if it finds something in the yard. Li Hua curiously follows to see and discovers it is an injured little bird. He decides to first bring the bird into the house for care. At this time, he receives a message from his basketball team captain, asking if he is going to attend the extra training tonight. Li Hua knows that training is important for the upcoming game, but he does not finish his math homework yet, and his mother hopes that he finishes the homework early.","After dealing with the bird situation, what does Li Hua do next?",He goes to attend the extra training of the basketball team.,"He continues to play with the puppy in the yard, looking for other animals that might need help.",He starts doing math homework.,He prepares dinner to help lighten his mother's burden.,C
"Li Hua is a photographer, he is taking cover photos for a magazine. During the shooting process, he finds a very unique shooting angle, but this requires him to climb to a higher position. At this time, his assistant Xiao Zhang runs to tell him that his favorite photography exhibition is about to start. Li Hua knows that if he leaves to watch the exhibition now, he may miss this shooting opportunity. At the same time, the editor of the magazine calls to urge him to complete the shooting work as soon as possible.",What does Li Hua choose to do after receiving the message from assistant Xiao Zhang?,He goes to watch the photography exhibition immediately.,He replies to the editor that he needs more time to complete the shooting.,He asks Xiao Zhang to help climb to a high place to take pictures.,He continues the current shooting.,D
"On a cold winter night, Xiao Li is reading a book about plant encyclopedia at home. Her friend Xiao Wang calls her, tells her that he meets a botanist in a nearby cafe, and invites her to come over. Xiao Li hesitates for a while, because she remembers that there is an important biology exam tomorrow. She looks at the snow scene outside the window, then turns back to look at the notes and books piled up on the desk. Her cat jumps on the table and looks at her curiously.",What does Xiao Li do after receiving Xiao Wang's call?,She goes out to the cafe to meet the botanist.,She continues to stay at home and read.,She plays with her cat to relieve the pressure of studying.,She reviews the questions she gets wrong before.,D
"Xiao Hong just comes home and she finds that the TV at home does not work. She checks the TV plug and finds everything is normal, but the TV still cannot turn on. At this time, her roommate Xiao Gang comes home and tells her that he goes to an appliance store today and sees a new type of smart TV, and he really wants to buy it. Xiao Hong knows that Xiao Gang is saving money recently, but she also really wants a new TV. She looks out the window and finds that the weather is very good, which is suitable for going out for a walk to think.","After Xiao Hong finds out that the TV is broken, what does she most likely do?",She continues to try to repair the TV.,She invites Xiao Gang to go to the appliance store to see the new TV.,She goes out for a walk to relax.,She searches online for how to repair the TV.,D
"Li Hua is a middle school student who loves music. One day after school, he decides to go to the music store to buy a new guitar score. On the way, he runs into his friend Xiao Lin, who is working hard to fix the bicycle tire. Li Hua stops to help Xiao Lin, but suddenly receives a call from his mother, telling him that relatives are coming to their house for a party tonight, and he needs to help prepare. After hanging up the phone, Li Hua looks at the time and remembers his original plan to go to the music store.","After Li Hua helps Xiao Lin fix the bicycle, what does he do next?",Goes to the music store to buy a guitar score,Goes home to help prepare for the family gathering tonight.,Continues to help Xiao Lin fix other bicycle problems.,Invites Xiao Lin to go to the music store together.,A
