index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,SOURCE_FILE
1,"Xiao Hua is in the kitchen preparing dinner when suddenly he hears the doorbell ring. He turns down the fire and goes to open the door, finding it is his friend Xiao Li. Xiao Li holds some movie tickets in his hand and invites Xiao Hua to watch a movie. Xiao Hua thinks for a moment and tells Xiao Li that he must finish dinner first. At this time, Xiao Hua's sister also runs over and says she can help cook, letting Xiao Hua go play. Xiao Hua looks at the half-cooked dinner in the kitchen and hesitates.",What does Xiao Hua do next after hearing Xiao Li's invitation?,He continues to cook dinner.,He accepts Xiao Li's invitation and goes to watch a movie.,He lets his sister finish dinner and he rests.,He goes to discuss with other friends whether to go to the movies.,Completion of failed actions
2,"Li Hua is a person who is passionate about outdoor adventures, and he goes hiking or camping every weekend. He always seeks fresh and exciting experiences. Wang Fang, a quiet librarian, spends her weekends in a quiet library, reading and organizing books. She likes a calm and orderly environment. This weekend, Li Hua invites Wang Fang to go out for the weekend.",Where does Li Hua plan to spend the weekend with Wang Fang?,Hiking,Library,Sports Park,Skiing,Discrepant desires
3,"Jianning and Mingkai are the co-captains of the football team. They still lack one team member. They joke that the remaining unselected players are ""the best players"". After a while, Mingkai does not speak, winks at Jianning, and then looks at Taotao, Taotao is one of the remaining unselected players. Mingkai turns his head and smiles at Jianning. Jianning nods his head, chooses Taotao to join their team. Taotao sees the wink and smile of Mingkai and Jianning.",What does Taotao do next?,"He walks towards Jianning and Mingkai, extends his hand, and shows a positive and friendly attitude.","He talks to a good friend about his feelings, seeks support and comfort.","He reinterprets this situation in a positive way, such as considering himself as a ""hidden treasure"" or ""secret weapon"", not the last one to be selected.","He shifts his attention to the upcoming game, not focusing on the order of being selected.",Emotion Regulation
4,"Last Friday, all classmates in the fifth grade of elementary school participate in a Chinese composition competition. Xiao Ming really wants to win first place in this competition. The competition results come out, Xiao Hong wins the competition, and Xiao Ming happens to take a leave of absence and does not go to school that day. When going to school on Monday, Xiao Hong is the first to see Xiao Ming and says: ""Xiao Ming, I read your composition and it is not bad, just a bit regrettable."" Xiao Ming is very surprised when he hears this and says: ""What do you mean, can you be more clear?"" Xiao Hong looks at Xiao Ming and says: ""Oh, it is nothing, let's go to class.""","If there is one, which sentence is inappropriate?","Xiao Ming, I read your composition and it is not bad, it is just a bit regrettable.","What do you mean, can you explain it more clearly?","Oh, it is nothing, let's go to class.",No one in the story says anything inappropriate.,Faux-pas Recognition Test
5,"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She knows, if she tells her mother she has a stomachache, her mother does not let her go. She tries to hide her feelings, so her mother lets her go to the party.",What are Xinxin's real feelings?,Sad,Scared,Happy,Disappointed,Hidden emotions
6,"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She knows, if she tells her mother she has a stomachache, her mother does not let her go. She tries to hide her feelings, so her mother lets her go to the party.",Why is Xinxin's true feeling sad?,Because she does not like parties,Because of the stomachache,She cannot attend the party,Because she fears her mother worries,Hidden emotions
7,"Emily finds a book she really wants to read in the library, but discovers the book is already borrowed by someone else. Emily sees a book with a similar cover next to it, thinks it is the same book, and takes it away. When she gets home, Emily realizes it is a different book, but she is too lazy to return it. At the same time, Kate is busy working in the library. She knows this book belongs to a blind person who is waiting for this book. Kate gets tricked by a blind person she doesn't know not long ago, she notices Emily takes the wrong book, but she chooses not to tell Emily.",What kind of emotion does Emily feel after she realizes she takes the wrong book and decides not to return it?,"Emily possibly feels indifferent, because she finds a book she wants to read, and she doesn't want to bother herself to go back and return the book.","Emily possibly feels frustrated, because she can't read the book she originally wants to read.","Emily possibly feels guilty and uneasy, because she knows she takes the wrong book, but she doesn't want to take the trouble to return it.","Emily possibly feels satisfied, because she thinks she accidentally finds a new book, and considers this as a kind of luck.",Moral emotions
8,"Xiao Hong is a 6-year-old child. Today is Saturday. Mom and Dad have free time today, they do not know what they can do together. Maybe go for ice cream? Xiao Hong really, really wants to go to the amusement park today. However, Dad thinks the amusement park has a lot of noise. He says: ""Xiao Hong, this is not a good idea. I think there is a lot of noise in the amusement park.""",How does Xiao Hong persuade her dad?,"Xiao Hong can look up some information, proving that the current amusement parks take many measures to reduce noise, such as setting up soundproof walls, using quieter equipment, etc.","Xiao Hong can tell her dad that she has not been to the amusement park for a long time, this is a very special wish for her, she really wants to go.","If Dad really does not want to go to the amusement park, Xiao Hong can suggest going to other places, such as parks or zoos, so everyone is happy.","Xiao Hong can suggest: ""How about we go in the early morning or on weekdays? I hear that there are fewer people at that time, and it is quieter. We can avoid peak hours, and get a quieter experience.""",Persuasion Story Task
9,"Zhiwei and Xiaolan are planning a short trip, they are sitting on a park bench flipping through a travel guide. Mingda, although not invited to this short trip, still listens to their discussion from behind. Suddenly, Zhiwei notices Mingda on the side, and glances at Xiaolan. Then, Xiaolan sees Zhiwei's look, shakes her head, and continues to look down at the travel guide.","After Zhiwei notices Mingda, what is his next action?","Ignores Mingda, continues to discuss travel plans with Xiaolan.",Invites Mingda to join their discussion.,Suggests to Xiaolan to change a place to avoid Mingda discussing travel plans,Tells Xiaolan about Mingda.,Prediction of actions
10,"Zhang Hua is preparing the last artwork for the art exhibition, while his friend Li Lei is complaining to him about workplace troubles over the phone. Suddenly, Zhang Hua's paintbrush falls to the ground. As he bends down to pick it up, there is a hurried knock on the window from his neighbor who rushes to borrow something. At the same time, Zhang Hua remembers that there is an important family gathering tonight, and his participation is very important to his family.","After Zhang Hua handles the sudden situation, what does he do first?",He opens the door to help the neighbor.,He calls back Li Lei to provide help and advice.,He prepares to attend the family gathering.,He reorganizes the studio and relaxes a bit.,Completion of failed actions
