story_snippet,question_snippet,models,num_models
Xiao Hua is in the kitchen preparing dinner when suddenly he hears the doorbell ,What does Xiao Hua do next after hearing Xiao Li's invitation?,"Claude, gemini, gpt5.1, llama_merged, qwen_merged",5
"Zhang Hua is preparing the last artwork for the art exhibition, while his friend","After Zhang Hua handles the sudden situation, what does he do first?","gemini, gpt5.1, llama_merged",3
"Li Hua is a person who is passionate about outdoor adventures, and he goes hikin",Where does Li Hua plan to spend the weekend with Wang Fang?,"Claude, gemini, gpt5.1, llama_merged, qwen_merged",5
Xiao Hong and Xiao Fang watch other children play on the playground. They chat a,What does Xiao Mei do next?,"gemini, llama_merged",2
Jianning and Mingkai are the co-captains of the football team. They still lack o,What does Taotao do next?,"Claude, gemini, gpt5.1, llama_merged, qwen_merged",5
"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She",What are Xinxin's real feelings?,"Claude, gemini, llama_merged, qwen_merged",4
"Emily finds a book she really wants to read in the library, but discovers the bo",What kind of emotion does Emily feel after she realizes she takes the wrong book,"Claude, gemini, gpt5.1, llama_merged, qwen_merged",5
"Zhiwei and Xiaolan are planning a short trip, they are sitting on a park bench f","After Zhiwei notices Mingda, what is his next action?","Claude, gemini, llama_merged, qwen_merged",4
"Last Friday, all classmates in the fifth grade of elementary school participate ","If there is one, which sentence is inappropriate?",Claude,1
"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She",Why is Xinxin's true feeling sad?,"Claude, llama_merged",2
Xiao Hong is a 6-year-old child. Today is Saturday. Mom and Dad have free time t,How does Xiao Hong persuade her dad?,"Claude, gpt5.1, qwen_merged",3
"Tara is a curious robot, living in an underwater city called Aquatica in the dee",What is Tara likely imitating?,"gpt5.1, llama_merged",2
"Xiao Ming and Xiao Li are wandering in the bank, they see a handbag and a box, t","After Xiao Li returns to the bank, does Xiao Li know where the chalk is now?",gpt5.1,1
"Zhang San and Li Si are college roommates. Today is the weekend, a rare rest day",How does Zhang San convince Li Si to go to the amusement park?,"gpt5.1, llama_merged, qwen_merged",3
"Dongdong and Xixi are fixing a car in the park, preparing for a weekend outing. ",What does Dongdong want to do?,gpt5.1,1
Xiao Hong and Xiao Fang watch other children play on the playground. They chat a,Why does Xiao Hong smile at Xiao Fang?,"llama_merged, qwen_merged",2
"On a sunny weekend afternoon, Li Juan, Wang Qiang, and Xiao Fang play toys toget",What does Xiao Fang most likely do?,llama_merged,1
"In a space station on the orbit of a distant planet, a robot named Tinklo lives.",What does Tinklo possibly imitate?,"llama_merged, qwen_merged",2
"Emily finds a book she really wants to read in the library, but discovers the bo","Kate knows Emily takes the wrong book, but she chooses not to tell Emily, what k",llama_merged,1
The little boy Tom finds some money on his way home from school. He is very happ,What does Tom do after he helps the aunt pick apples?,qwen_merged,1
