"cluster_id","question_index","story","question","option_a","option_b","option_c","option_d","correct_answer","cluster_summary"
"4","0","There are 40 markers in the office supply closet. Ms. Chen tells the intern, Lin, ""Most of the markers are blue, some are black, and very few are red."" After checking, Lin finds that 12 markers are black.","After checking, how many blue markers does Lin estimate?","After checking, Lin estimates there are 28 blue markers.","After checking, Lin estimates there are 27 blue markers.","After checking, Lin estimates there are 20 blue markers.","After checking, Lin estimates there are 24 blue markers.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","1","In the community garden, there are 60 seedlings. The coordinator tells Wei, ""Most are thriving, some are just sprouting, and almost none have dried out."" Wei checks and finds that 15 are just sprouting.","After checking, how many thriving seedlings does Wei estimate?","After checking, Wei estimates there are 45 thriving seedlings.","After checking, Wei estimates there are 43 thriving seedlings.","After checking, Wei estimates there are 40 thriving seedlings.","After checking, Wei estimates there are 48 thriving seedlings.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","2","At the library returns desk, there are 80 items. The librarian tells Ana, ""Most are books, some are magazines, and a few are DVDs."" Ana tallies and finds 18 magazines.","After tallying, how many books does Ana estimate?","After tallying, Ana estimates there are 62 books.","After tallying, Ana estimates there are 57 books.","After tallying, Ana estimates there are 50 books.","After tallying, Ana estimates there are 65 books.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","3","In the warehouse, there are 100 shipments ready to go. The supervisor tells Raj, ""Most are standard, some are express, and hardly any are overseas."" After reviewing the labels, Raj finds that 25 shipments are express.","After reviewing, how many standard shipments does Raj estimate?","After reviewing, Raj estimates there are 75 standard shipments.","After reviewing, Raj estimates there are 72 standard shipments.","After reviewing, Raj estimates there are 85 standard shipments.","After reviewing, Raj estimates there are 70 standard shipments.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","4","At an art fair, 35 pieces have been sold. The curator tells Lila, ""Most are paintings, some are prints, and almost no sculptures were sold."" Lila checks and finds that 8 of the sales were prints.","After checking, how many paintings does Lila estimate were sold?","After checking, Lila estimates that 27 paintings were sold.","After checking, Lila estimates that 26 paintings were sold.","After checking, Lila estimates that 20 paintings were sold.","After checking, Lila estimates that 24 paintings were sold.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","5","For a camping trip, there are 90 supplies packed. The quartermaster tells Omar, ""Most are food packs, some are tools, and very few are medical kits."" Omar inventories and finds 22 tools.","After inventorying, how many food packs does Omar estimate?","After inventorying, Omar estimates there are 68 food packs.","After inventorying, Omar estimates there are 64 food packs.","After inventorying, Omar estimates there are 62 food packs.","After inventorying, Omar estimates there are 70 food packs.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","6","In a class, 28 worksheets were turned in. The teacher tells Mei, ""Most are completed, some are partially done, and a few are missing."" Mei checks and finds that 6 are partially done.","After checking, how many completed worksheets does Mei estimate?","After checking, Mei estimates there are 22 completed worksheets.","After checking, Mei estimates there are 20 completed worksheets.","After checking, Mei estimates there are 18 completed worksheets.","After checking, Mei estimates there are 24 completed worksheets.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","7","A shared playlist has 120 tracks. The owner tells Jin, ""Most are pop, some are rock, and almost none are jazz."" Jin sorts the playlist and finds 30 rock tracks.","After sorting, how many pop tracks does Jin estimate?","After sorting, Jin estimates there are 90 pop tracks.","After sorting, Jin estimates there are 88 pop tracks.","After sorting, Jin estimates there are 80 pop tracks.","After sorting, Jin estimates there are 95 pop tracks.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","8","During a wildlife survey, there are 52 sightings recorded. The field lead tells Nora, ""Most are birds, some are mammals, and very few are reptiles."" Nora counts and finds 12 mammals.","After counting, how many bird sightings does Nora estimate?","After counting, Nora estimates there are 40 bird sightings.","After counting, Nora estimates there are 38 bird sightings.","After counting, Nora estimates there are 35 bird sightings.","After counting, Nora estimates there are 45 bird sightings.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","9","In the office inbox, there are 75 new emails. The team lead tells Kai, ""Most are work-related, some are promotional, and hardly any are spam."" Kai categorizes and finds 17 promotional emails.","After categorizing, how many work-related emails does Kai estimate?","After categorizing, Kai estimates there are 58 work-related emails.","After categorizing, Kai estimates there are 55 work-related emails.","After categorizing, Kai estimates there are 60 work-related emails.","After categorizing, Kai estimates there are 50 work-related emails.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","10","In the supply closet, there are 40 markers. The office manager tells her assistant, ""Most of the markers are blue, some are black, and almost none are red."" After checking, the assistant finds that there are 8 black markers.","After checking, how many blue markers does the assistant estimate there are?","After checking, the assistant estimates there are 32 blue markers.","After checking, the assistant estimates there are 30 blue markers.","After checking, the assistant estimates there are 40 blue markers.","After checking, the assistant estimates there are 20 blue markers.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","11","During a morning bird count, the team spots 60 birds. The coordinator tells Mei, ""Most of them are sparrows, some are finches, and very few are crows."" Mei tallies and finds that 12 are finches.","After tallying, how many sparrows does Mei estimate?","After tallying, Mei estimates there are 48 sparrows.","After tallying, Mei estimates there are 45 sparrows.","After tallying, Mei estimates there are 60 sparrows.","After tallying, Mei estimates there are 30 sparrows.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","12","At the library returns desk, 25 borrowed items have been dropped off. The librarian tells Alex, ""Most of these are books, some are DVDs, and hardly any are magazines."" Alex checks and finds that 6 items are DVDs.","After checking, how many books does Alex estimate are in the returned items?","After checking, Alex estimates there are 19 books.","After checking, Alex estimates there are 18 books.","After checking, Alex estimates there are 25 books.","After checking, Alex estimates there are 12 books.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","13","On a farm, there are 80 crates of apples ready for market. The foreman tells Nora, ""Most are sweet apples, some are tart, and a few are bruised but not many."" Nora inspects and finds that 20 crates are tart apples.","After inspecting, how many crates of sweet apples does Nora estimate?","After inspecting, Nora estimates there are 60 crates of sweet apples.","After inspecting, Nora estimates there are 56 crates of sweet apples.","After inspecting, Nora estimates there are 80 crates of sweet apples.","After inspecting, Nora estimates there are 40 crates of sweet apples.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","14","In an internal survey, 100 employees responded. The HR lead tells Ravi, ""Most prefer remote work, some prefer a hybrid setup, and almost none prefer office-only."" Ravi compiles the data and sees that 30 employees prefer hybrid.","After compiling, how many employees does Ravi estimate prefer remote work?","After compiling, Ravi estimates that 70 employees prefer remote work.","After compiling, Ravi estimates that 66 employees prefer remote work.","After compiling, Ravi estimates that 100 employees prefer remote work.","After compiling, Ravi estimates that 50 employees prefer remote work.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","15","A beachcombing club sorts 36 shells they collected. The leader tells Lina, ""Most are white shells, some are striped, and very few are chipped."" Lina counts and finds that 10 shells are striped.","After counting, how many white shells does Lina estimate?","After counting, Lina estimates there are 26 white shells.","After counting, Lina estimates there are 24 white shells.","After counting, Lina estimates there are 36 white shells.","After counting, Lina estimates there are 15 white shells.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","16","For a class party, there are 45 snack items on the table. The teacher tells Jun, ""Most are fruit, some are crackers, and hardly any are candy."" Jun checks and finds that there are 12 packs of crackers.","After checking, how many fruit items does Jun estimate?","After checking, Jun estimates there are 33 fruit items.","After checking, Jun estimates there are 31 fruit items.","After checking, Jun estimates there are 45 fruit items.","After checking, Jun estimates there are 20 fruit items.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
