STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
"Zhang Yang and Li Ming are going to have a picnic. This is Li Ming's idea, he says today is a good day for a picnic. But just as they open the food packaging, it starts to rain from the sky, and in a short while, they are all soaked. Zhang Yang is very upset. She says: ""Oh, yes, a good weather for a picnic!""",Is what Zhang Yang says true?,Yes,No,,,B
"Zhang Yang and Li Ming are going to have a picnic. This is Li Ming's idea, he says today is a good day for a picnic. But just as they open the food packaging, it starts to rain from the sky, and in a short while, they are all soaked. Zhang Yang is very upset. She says: ""Oh, yes, a good weather for a picnic!""",Why does Zhang Yang say this?,She lies to agree with Li Ming that today is a good day for a picnic.,She lies to comfort Li Ming that today is a good day for a picnic.,She wants to mock herself for choosing this day for a picnic is not a wise choice.,She wants to mock Li Ming for saying today is a good day for a picnic.,D
"Anming's mother spends a long time making Anming's favorite fried fish and chips. But when she brings the food to Anming, Anming watches TV, she doesn't even look up, and doesn't say thank you. Anming's mother says angrily: ""You are really polite!""",Does mother tell the truth?,Yes,No,,,B
"Anming's mother spends a long time making Anming's favorite fried fish and chips. But when she brings the food to Anming, Anming watches TV, she doesn't even look up, and doesn't say thank you. Anming's mother says angrily: ""You are really polite!""",Why does the mother say this?,She thinks Anming is a very polite child,She lies to encourage Anming to be a very polite child,She wants to mock her own food is not delicious.,She wants to mock Anming is a child without manners.,D
"At a company annual meeting, Li Na and Zhang Yu are colleagues. A talent show for employees takes place at the annual meeting, and Li Na sings a bit out of tune. When Li Na performs on stage, Zhang Yu watches her sing enthusiastically and can't help but say, ""Secretary Li, your singing is really good, the boss should promote you to be a singer, right?""",Is what Zhang Yu says true?,Yes,No,,,B
"At a company annual meeting, Li Na and Zhang Yu are colleagues. A talent show for employees takes place at the annual meeting, and Li Na sings a bit out of tune. When Li Na performs on stage, Zhang Yu watches her sing enthusiastically and can't help but say, ""Secretary Li, your singing is really good, the boss should promote you to be a singer, right?""",Why does Zhang Yu say this?,Zhang Yu wants to say that Li Na's singing performance at the annual meeting is very bad.,Zhang Yu mocks Li Na because he has bad intentions towards Li Na.,Zhang Yu wants to mock Li Na for her bad singing.,Zhang Yu wants to mock Li Na for wanting to get promoted through connections.,C
"On the first day at the new job, the supervisor praises their company's new printer as the best in the industry, and Linda looks forward to using the ""super easy to use"" printer advertised. But when Linda tries to use it, a series of error messages appear, and she spends an hour and a manual to set up the printer. When the machine prints out the document, she breathes a sigh of relief and says, ""It really is a super easy to use printer, it is easy to use.""",Is what Linda says true?,Yes,No,,,B
"On the first day at the new job, the supervisor praises their company's new printer as the best in the industry, and Linda looks forward to using the ""super easy to use"" printer advertised. But when Linda tries to use it, a series of error messages appear, and she spends an hour and a manual to set up the printer. When the machine prints out the document, she breathes a sigh of relief and says, ""It really is a super easy to use printer, it is easy to use.""",Why does Linda say this?,Linda wants to mock that the printer is not very easy to use.,Linda wants to agree with the supervisor that the printer is very good to use.,Linda wants to recommend the printer to her colleagues.,Linda thinks the printer is easy to use.,A
"In a technology innovation competition, Wang Ming and Yang Hui are the team leaders of two competing teams. As the competition goes to the end, Yang Hui's team presents a technology product, which receives mixed reviews from the jury. Wang Ming looks at Yang Hui's smugness and says, ""This innovation of yours probably comes from a masterpiece left over from the last century.""",Is what Wang Ming says true?,Yes,No,,,B
"In a technology innovation competition, Wang Ming and Yang Hui are the team leaders of two competing teams. As the competition goes to the end, Yang Hui's team presents a technology product, which receives mixed reviews from the jury. Wang Ming looks at Yang Hui's smugness and says, ""This innovation of yours probably comes from a masterpiece left over from the last century.""",Why does Wang Ming say this?,Wang Ming mocks Yang Hui because he thinks the technology innovation competition is not worth participating in.,Wang Ming mocks Yang Hui because he thinks the work of Yang Hui's team is not innovative.,Wang Ming wants to praise Yang Hui for leading the entire team very well.,Wang Ming wants to praise the work of Yang Hui's team is very good.,B
"Zhang Hua is a high school student who is extremely obsessed with social media. He spends several hours every day scrolling through Weibo, using TikTok, and even sneaks his phone during class. His grades start to decline, but his number of followers continues to steadily increase. One day, his father looks at Zhang Hua's report card and says with a smile, ""It seems like you're more popular on social media than in school.""",Is the father praising Zhang Hua when he says this?,A. Yes,B. No,,,B
"Zhang Hua is a high school student who is extremely obsessed with social media. He spends several hours every day scrolling through Weibo, using TikTok, and even sneaks his phone during class. His grades start to decline, but his number of followers continues to steadily increase. One day, his father looks at Zhang Hua's report card and says with a smile, ""It seems like you're more popular on social media than in school.""",Why does the father say this?,A. Father wants to exaggerate Zhang Hua's popularity on social media.,B. Father wants to encourage Zhang Hua to gain more followers' attention.,C. Father hopes Zhang Hua will study diligently.,D. Father is sarcastically criticizing Zhang Hua for not studying properly.,D
"Xiao Hong and Xiao Ming are classmates. Today, when they go to school, all the other classmates in Xiao Hong's class are at school, and Xiao Ming, who usually doesn't like to talk, is sick at home. After school, Xiao Hong goes home, her mother asks her: ""Are all the people in your class at school today?"" Xiao Hong replies: ""Yes, mom.""",Is what Xiao Hong says true?,Yes,No,,,B
