STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,"答案
ANSWER"
"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She knows, if she tells her mother she has a stomachache, her mother does not let her go. She tries to hide her feelings, so her mother lets her go to the party.",What are Xinxin's real feelings?,Sad,Scared,Happy,Disappointed,A
"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She knows, if she tells her mother she has a stomachache, her mother does not let her go. She tries to hide her feelings, so her mother lets her go to the party.",Why is Xinxin's true feeling sad?,Because she does not like parties,Because of the stomachache,She cannot attend the party,Because she fears her mother worries,B
"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She knows, if she tells her mother she has a stomachache, her mother does not let her go. She tries to hide her feelings, so her mother lets her go to the party.",How does Xinxin appear when this happens?,Sad,Scared,Happy,Disappointed,C
"Xinxin wants to go to her friend's party tonight, but she has a stomachache. She knows, if she tells her mother she has a stomachache, her mother does not let her go. She tries to hide her feelings, so her mother lets her go to the party.",Why does Xinxin seem happy on the surface?,"Because she tells her mother the truth that she has a stomachache, she does not lie to her mother.",Because her mother agrees to her attending the party,To avoid her mother not letting her attend the party,Because her mother understands her situation.,C
"Lily just gets a haircut. The hairdresser cuts too much hair, and she looks silly. At school, Lily's friends laugh at her and tell her she looks like a hedgehog. Lily tries to pretend she doesn't care.",What are Lily's real feelings?,Happy,Sad,Excited,Satisfied,B
"Lily just gets a haircut. The hairdresser cuts too much hair, and she looks silly. At school, Lily's friends laugh at her and tell her she looks like a hedgehog. Lily tries to pretend she doesn't care.",Why is Lily's real feeling sad?,Because she doesn't like hedgehogs,Because too much hair is cut,Because friends laugh at her,Because she wants a silly style,C
"Lily just gets a haircut. The hairdresser cuts too much hair, and she looks silly. At school, Lily's friends laugh at her and tell her she looks like a hedgehog. Lily tries to pretend she doesn't care.",How does Lily look when this happens to her?,Happy,Sad,Excited,Satisfied,A
"Lily just gets a haircut. The hairdresser cuts too much hair, and she looks silly. At school, Lily's friends laugh at her and tell her she looks like a hedgehog. Lily tries to pretend she doesn't care.",Why does Lily seem happy on the surface?,Because she receives a lot of compliments,Because she is satisfied with the haircut,Because she likes hedgehogs very much,Because she wants to stop classmates from laughing,D
"Break time comes. Mengmeng's friends are chatting and telling jokes in a group. Someone tells a joke that everyone thinks is funny. Mengmeng does not understand this joke, but she does not want other children to know.",What does Mengmeng feel?,Sad,Angry,Happy,Guilty,A
"Break time comes. Mengmeng's friends are chatting and telling jokes in a group. Someone tells a joke that everyone thinks is funny. Mengmeng does not understand this joke, but she does not want other children to know.",Why is Mengmeng's true feeling sadness?,Because she receives praise,Because the joke is not funny,Because she does not understand the joke,Because she has a good chat with friends,C
"Break time comes. Mengmeng's friends are chatting and telling jokes in a group. Someone tells a joke that everyone thinks is funny. Mengmeng does not understand this joke, but she does not want other children to know.",How does Mengmeng look when this happens?,Sad,Angry,Happy,Guilty,C
"Break time comes. Mengmeng's friends are chatting and telling jokes in a group. Someone tells a joke that everyone thinks is funny. Mengmeng does not understand this joke, but she does not want other children to know.",Why does Mengmeng seem happy?,Because someone tells a very funny joke,Because all friends are happy,In order not to let other children feel stupid,Because she does not want others to see her unhappy,C
"Xiaoyue has to do some arithmetic problems at school. She makes some silly mistakes. During the break, her friends talk about their performance, no one makes any mistakes. Xiaoyue tries to pretend she does as well as them.",What is Xiaoyue's real feeling?,Surprised,Annoyed,Confident,Happy,B
