cluster_label,cluster_size,cluster_summary
0,2,"Across these reasons, the model relies on a simplistic mapping from external events to “obvious” internal emotions and assumes those emotions directly determine the truth of subsequent statements. It prioritizes logical consistency at the surface level—e.g., winning implies happiness, public failure implies embarrassment—rather than tracking the narrative’s explicit cues about masking, conflicting feelings, or differences between inner states and outward presentations. In contrast, the human answers attend to perspective, context, and the text’s meta-information about what is said, what is felt, and what is displayed."
1,1,"This cluster reflects a pattern where the model leans into rich social-pragmatic cues and joint attention to construct a more sophisticated theory-of-mind explanation than the human key expects. It systematically interprets characters as making deliberate, inquisitive inferences (e.g., Xiao Hong inspecting all sides because she infers something special), whereas the human answer presumes simpler, child-like labeling behavior. Across such items, model errors arise less from logical failure than from privileging nuanced mental-state reasoning over the test designer’s intended, more basic developmental-psychology interpretation."
2,2,"Across these reasons, the core pattern is how vague quantifiers like “most” and “almost no” are interpreted when mapping narrative descriptions to exact numbers. Human answers implicitly preserve a small, non‑zero remainder for the minority category (rice or Shandong dishes, and even other cuisines), so they pick distributions such as 35–5 that satisfy both the total and the verbal hedges. The model instead regularizes “almost no” to zero and neglects unmentioned categories, yielding 40‑style answers that align with a strict arithmetic reading but diverge from human pragmatic expectations while still being arguably defensible."
3,7,"Across these items, the model repeatedly relies on overlearned “false-belief” templates instead of flexibly tracking which character’s perspective is explicitly queried, often answering from the uninformed agent’s view when the question targets the informed one. It also frequently collapses the distinction between belief and reality, failing to represent outdated or nested beliefs and thus predicting search locations based on the object’s actual position rather than agents’ mental states. In a few cases (3 and 5), ambiguous wording or option labeling makes both the model and human answers partially defensible, exposing sensitivity to linguistic underspecification."
4,10,"Across these items, the model repeatedly privileges generic scripts and commonsense narratives—jealous classmates, surprise gifts, continued club participation, exam-focused parents, or promises of future rewards—over the specific cues and constraints given in the text. It often latches onto a salient phrase (“important family gathering,” “not overwork themselves,” “romantic restaurant,” “exams”) and then extrapolates a familiar storyline, underweighting temporal order, stated motivations, or explicit outcomes like money being spent or everyone wanting the task. Overall, the main divergence from human answers is mis-weighted evidence: world-knowledge templates override fine-grained, passage-grounded reasoning."
5,6,"Across these items, the model leans on literal, local cues—the exact phrasing, visible actions, or emotionally valenced words—rather than integrating broader story context, timeline, and discourse structure. It often defaults to the most concrete, surface-level goal (fixing a car, increasing involvement, reporting a “brand new” method) and underweights pragmatic subtleties about status signaling, encouragement, or problem-resolution roles that humans infer. Because many vignettes are intentionally ambiguous, its choices are sometimes still defensible, but they regularly miss the socially implied, narratively central intention."
6,4,"Across these items, the model relies on generic, decontextualized heuristics—like favoring “win‑win” cooperation, enforcing stated rules, and checking for logical consistency—rather than inferring implicit priorities, power hierarchies, or scarce resources. In all cases, it interprets key evaluative terms (especially “inappropriate”) in a narrow, literal way focused on explicit rudeness or contradiction, while humans apply broader, culturally grounded norms about tact, fairness, and morale. Thus the disagreement stems less from misunderstanding the scenario than from different pragmatic frames, making the model’s choices partly defensible."
7,2,"Across these reasons, the core pattern is that the model treats natural‑language quantifiers (“most,” “some,” “very few,” “almost no”) as vague, static proportions instead of contextually mapping them to concrete counts. It then defaults to a generic “around half” heuristic for “most” and fails to integrate how multiple verbal constraints jointly narrow the plausible distributions, whereas the human‑intended reasoning uses those phrases as near‑deterministic clues. As a result, the model’s numeric choices are weakly supported approximations, while the human answers follow from tighter logical inferences."
8,8,"Across these items, the model overweights literal semantics, grammaticality, and surface coherence while underweighting pragmatic norms, social face concerns, and culturally typical speech acts. It repeatedly misinterprets “inappropriate” as logical contradiction, factual impossibility, or source of narrative awkwardness, rather than as a violation of politeness, relational positioning, or test‑design intent. The cluster thus reflects a consistent weakness in integrating conversational context, shared background knowledge, and character perspectives to infer implied meanings, prioritize salient new information, and identify which utterance the question‑setter targets as contextually problematic."
9,16,"Across these reasons, the model repeatedly latches onto the most salient or literal cue—initial events, generic social heuristics, or explicitly stated desires—while neglecting broader narrative structure, contrastive wording, and subtle implications. Humans, and the intended labels, more often integrate shifting time points, social-relational meanings (closeness, recognition, commemorative grief), and the possibility of genuinely mixed or conflicting emotions, distinguishing inner feeling from outward display. As a result, many items are ambiguous with multiple defensible emotions, and the model’s answers are psychologically reasonable yet frequently misaligned with the test’s narrow “best” choice."
10,1,"Across this cluster, the model over-prioritizes surface pattern-matching (“like a pangolin”) to familiar, visually similar entities, instead of integrating the full narrative context. The reasons highlight that the stories usually contain explicit world constraints (e.g., Nimbus has only birds and flying insects), which humans use to eliminate impossible options and reinterpret metaphors in-context. Overall, the model’s Theory of Mind errors here stem less from misunderstanding mental states than from neglecting story-internal logic and availability constraints on what the characters could actually perceive or imitate."
11,18,"Across all items, the discrepancy hinges on an ambiguity in phrases like “should be inside,” which the model consistently interprets as asking about actual, current contents while the human-keyed answer treats it as expectation or belief based on labels and character perspective. The stories systematically juxtapose labels with mismatched contents and limited viewpoints, so humans read them as theory‑of‑mind or norm‑based tasks, whereas the model defaults to an omniscient, reality‑tracking frame. The explanations repeatedly conclude that both readings are logically defensible, but test design privileges the perspective‑taking interpretation."
12,13,"Across these items, the model consistently construes “inappropriate” in a narrow, largely decontextualized way, focusing on explicit rudeness, taboo content, logical contradiction, or odd wording rather than relational dynamics. Human answers instead rely on broader pragmatic norms—emotional sensitivity, respect for boundaries, recognition of power asymmetries, privacy, consent, and situational fit—treating subtle pressure, invalidation, or agenda‑pushing as inappropriate even when phrased politely. Because the prompts under-specify which standard applies, many vignettes become ambiguous, so the analysis repeatedly concludes that both interpretations are defensible and the model is often “also correct,” though sometimes less socially attuned."
13,4,"Across these items, the model consistently privileges a literal, surface parsing of events—who hands what to whom, mentions of “bookstores” or “tactics”—and then selects the most logistically straightforward explanation. It underweights pragmatic signals such as secrecy, shyness, surprise, joking tone, and narrative irony, which humans use to infer hidden intentions like matchmaking, buying snacks under playful cover, or deliberately throwing a match for betting. The cluster thus highlights a recurring weakness in integrating cultural knowledge and conversational implicature with Theory‑of‑Mind reasoning, leading the model to miss non‑literal meanings and choose safer but narratively inconsistent answers."
14,5,"Across the cluster, disagreements stem from mismatches between the model’s interpretive standard and the exam’s intended but unstated assumptions about background knowledge, conversational continuity, and what counts as “knowing.” Sometimes the model adheres to a narrow, text-only or fine-grained notion of knowledge while humans use broader pragmatic inferences, and other times the model over-extends pragmatic conventions and ignores later disambiguating cues. Overall, these items exploit ambiguous wording and incomplete textual evidence, so multiple answers remain defensible, and the model’s responses often reflect a consistent yet mismatched reasoning policy."
15,14,"Across these items, the model repeatedly confuses which character’s mental state is queried, often defaulting to the “classic” absent-agent false‑belief template even when the story asks about a different, better-informed agent. A second recurring pattern is collapsing distinctions between reality, first‑order belief, and second‑order belief: it either tracks only the object’s actual location or only the first observer’s outdated belief, instead of maintaining parallel belief states. Finally, it underuses evidence that agents update beliefs after direct perception, and sometimes overweights static cues like labels or initial descriptions."
16,6,"Across these items, the human answers consistently track an agent’s perspective, beliefs, and knowledge updates, while the model often defaults to surface features like the first-mentioned object, the literal label, or the narrator’s omniscient description. Where humans treat phrases like “should be in the box” as about what a specific character reasonably expects or is excited about, the model misreads them as asking about the actual current contents, collapsing belief states into reality. This reveals a recurring failure to represent distinct mental states, interpret pragmatic cues, and revise beliefs after new observations."
17,7,"Across these reasons, the model consistently privileges strictly literal, explicitly stated information in the stories, especially around whether a character was directly told or saw something. Human annotators instead import rich pragmatic and social knowledge—norms about friends knowing breakups, colleagues inferring non‑promotion, neighbors recognizing retirement, or classmates hearing about birthday gifts—to treat implicitly suggested facts as “known.” Thus the disagreements center less on faulty logic than on different thresholds for attributing knowledge: the model demands textual evidence, while humans license broader, culturally grounded mind‑reading."
18,2,"Both reasons highlight that the model overweights a later explicit number (“4 goalkeepers”) and underweights an earlier proportional, approximate description (“almost one third of 18”). In each case, the model mistakenly treats the subset of players who get the ball as if it were the whole team, collapsing an inherently probabilistic sampling situation into a deterministic equality constraint. More generally, the pattern is a preference for surface-level, easily retrievable numerals over approximate or contextual quantitative cues, leading to rigid, globally inconsistent interpretations of the scenario."
19,5,"Across these items, the model systematically defaults to a self-centered, ego‑focused interpretation of emotions, preferring options where the protagonist’s own actions, competitiveness, or agency provide a direct, intuitive cause of guilt, regret, or pride. It underweights textual and contextual constraints—such as explicit mentions of regret, the absence of a teaching relationship, puzzle‑style conventions, and moral framing—and instead follows loose emotional stereotypes or familiar narrative tropes. As a result, it often selects answers that feel narratively plausible in everyday reasoning but misalign with the narrower “test logic” governing Theory of Mind questions."
20,15,"Across these cases, the model tends to anchor on salient, surface-level cues—success, prosocial behavior, or immediate wrongdoing—and maps them to stereotypical emotions like pride, guilt, or embarrassment, while underweighting contrast markers (“but,” “however”), later revelations, and exam-style moral framing. The human answers more often track the narrative’s value-laden focus (filial gratitude, respect for donations, exam morality, social prejudice) and the specific timepoint “after learning X,” yielding emotions like worry, sadness, relief, or cherish. Many vignettes are genuinely ambiguous, so the disagreement often reflects different weighting of cues rather than outright reasoning failure."
21,6,"Across these items, the model consistently favors literal, explicitly stated content over pragmatic inference, speaker intention, and social norms. It treats remarks and compliments as factually accurate or uniformly polite instead of recognizing hyperbole, irony, and face‑saving lies, and it often conflates noticing someone’s behavior with truly understanding their preferences or beliefs. Consequently, it misjudges what characters know or mean in context—over‑extending clues like “has no taste” or “prefers light food,” misinterpreting the salt‑seller idiom, and failing to see that pushy recommendations or exaggerated praise can signal ignorance or insincerity rather than genuine care."
22,13,"Across this cluster, the model tends to overweight literal surface wording, narrator omniscience, and generic statements, while underweighting story conventions, real‑world constraints, and character‑specific perspectives. Many errors come from misalignments about what counts as “knowing”: the model often demands direct evidence or, conversely, treats any mentioned fact as universally known, whereas the human answers rely on pragmatic implicature, default trust in testimony, and task norms about strict epistemic access. Several cases also hinge on timing and scope misunderstandings—whether knowledge is evaluated before or after a disclosure, and whether in‑story realism overrides in‑game or fictional framing."
