STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
"Xiao Ming and Xiao Li are wandering in the bank, they see a handbag and a box, they find chalk in the handbag, Xiao Li leaves the bank, Xiao Ming moves the chalk to the box.",What does Xiao Li see in the box?,Does not see,Handbag,Tote Bags,Chalk,A
"Xiao Ming and Xiao Li are wandering in the bank, they see a handbag and a box, they find chalk in the handbag, Xiao Li leaves the bank, Xiao Ming moves the chalk to the box.","After Xiao Li returns to the bank, does Xiao Li know where the chalk is now?",Does not know,"Knows, in the handbag","Knows, in the Tote Bags","Knows, in the box",A
"Xiaoli and Lilei are wandering in the hall, they see the cabinet and the box, they find vests and sweaters in the cabinet, Lilei leaves the hall, Xiaoli moves the vests and sweaters to the box.",What does Lilei see in the box?,Vest,Sweater,Box,Sees nothing,D
"Xiaoli and Lilei are wandering in the hall, they see the cabinet and the box, they find vests and sweaters in the cabinet, Lilei leaves the hall, Xiaoli moves the vests and sweaters to the box.","After Li Lei returns to the hall, does Li Lei know where the vest is now?","Knows, in the briefcase","Knows, in the box","Knows, in the cabinet",Does not know,D
"Yoyo and Li Lei are wandering in the basement. They see backpacks and briefcases, and inside the backpack, they find carrots. Li Lei leaves the basement, and Yoyo moves the carrots to the briefcase.",What does Li Lei see in the briefcase?,A vest,Carrot,A box,Does not see,D
"Yoyo and Li Lei are wandering in the basement. They see backpacks and briefcases, and inside the backpack, they find carrots. Li Lei leaves the basement, and Yoyo moves the carrots to the briefcase.","After Lilei returns to the basement, does Lilei know where the carrot is now?","Knows, in the briefcase","Knows, in the suitcase","Knows, in the backpack",Does not know,D
"Zhang Wei and Xiao Ming wander around in the library, they see a suitcase and a handbag, they find a sweater and a vest in the suitcase, Xiao Ming leaves the library, Zhang Wei moves the sweater to the handbag.",What does Xiao Ming see in the handbag?,Sweater,Book,Vest,Sees nothing,D
"Zhang Wei and Xiao Ming wander around in the library, they see a suitcase and a handbag, they find a sweater and a vest in the suitcase, Xiao Ming leaves the library, Zhang Wei moves the sweater to the handbag.","After Xiao Ming returns to the library, does Xiao Ming know where the sweater is now?","Knows, in the box","Knows, in the handbag","Knows, in the suitcase",Does not know,D
"Xiao Wang and Xiao Ming stroll around the farm, they see a basket and a storage cabinet, they find a coat and gloves in the basket, Xiao Ming leaves the farm, Xiao Wang moves the coat to the storage cabinet.",What does Xiao Ming see in the storage cabinet?,He does not see,Storage cabinet,Coat,Gloves,A
"Xiao Wang and Xiao Ming stroll around the farm, they see a basket and a storage cabinet, they find a coat and gloves in the basket, Xiao Ming leaves the farm, Xiao Wang moves the coat to the storage cabinet.","After Xiao Ming returns to the farm, does Xiao Ming know where the jacket is now?","Knows, in the box","Knows, in the storage cabinet","Knows, in the basket",Does not know,D
"Xiao Li and Xiao Gang are wandering in the bar, they see a box and a safe, they find a bottle and a teapot in the box, Xiao Gang leaves the bar, Xiao Li moves the bottle to the safe.",What does Xiao Gang see in the safe?,Bottle,Teapot,Safe,Sees nothing,D
"Xiao Li and Xiao Gang are wandering in the bar, they see a box and a safe, they find a bottle and a teapot in the box, Xiao Gang leaves the bar, Xiao Li moves the bottle to the safe.","After Xiao Gang returns to the bar, does Xiao Gang know where the bottle is now?",Does not know,"Knows, in the box","Knows, in the safe",Briefcase,A
"Xiao Hong and Xiao Bei are wandering in the bank, they see the lockers and cabinets, they find scarves and gloves in the locker, Xiao Bei leaves the bank, Xiao Hong moves the scarf to the cabinet.",What does Xiao Bei see in the cabinet?,Scarf,Does not see,Locker,Gloves,B
"Xiao Hong and Xiao Bei are wandering in the bank, they see the lockers and cabinets, they find scarves and gloves in the locker, Xiao Bei leaves the bank, Xiao Hong moves the scarf to the cabinet.","After Xiao Bei returns to the bank, does Xiao Bei know where the scarf is now?",Does not know,"Knows, in the suitcase","Knows, in the locker","Knows, in the cabinet",A
"Xiao Ming and Zhang Wei stroll in the hall, they see a handbag and a box, they find a sponge and a rag in the handbag, Zhang Wei leaves the hall, Xiao Ming moves the sponge to the box.",What does Zhang Wei see in the box?,Sponge,Does not see,Box,Rag,B
"Xiao Ming and Zhang Wei stroll in the hall, they see a handbag and a box, they find a sponge and a rag in the handbag, Zhang Wei leaves the hall, Xiao Ming moves the sponge to the box.","After Zhang Wei returns to the hall, does Zhang Wei know where the sponge is now?","Knows, in the handbag",Does not know,"Knows, in the box","Knows, in the cupboard",B
"Xiao Bei and Xiao Li stroll in the parking lot, they see boxes and baskets, they find bananas and apples in the box, Xiao Li leaves the parking lot, Xiao Bei moves the bananas to the basket.",What does Xiao Li see in the basket?,Bananas and apples,Bananas,Apples,Sees nothing,D
"Xiao Bei and Xiao Li stroll in the parking lot, they see boxes and baskets, they find bananas and apples in the box, Xiao Li leaves the parking lot, Xiao Bei moves the bananas to the basket.","After Xiao Li returns to the parking lot, does Xiao Li know where the bananas are now?",Does not know,"Knows, in the box","Knows, in the handbag","Knows, in the basket",A
"Xiao Gang finds a handbag in the bedroom, the label on the handbag is cabbage, Xiao Gang cannot see what is inside the handbag, Xiao Gang opens the handbag and finds a hat, there is no cabbage inside the handbag, Xiao Gang closes the handbag and puts it back in its place. Xiao Ming enters the bedroom and sees the handbag.",What does Xiao Ming see in the handbag?,Sees nothing,Cabbage,Zucchini,Hat,A
"Xiao Gang  and Ming find the handbag in the bedroom, Ming and Xiao Gang open the handbag and find the hat. Ming left the bedroom. Xiao Gang takes the hat out of the bag, closes the bag and puts it back where it belongs.","Xiao Ming returns to the bedroom, does Xiao Ming know what is in the handbag now?","He knows, there is corn","He knows, there is cabbage",He does not know,"He knows, there is a hat",C
"Xiao Ming finds a box in the garage, the label on the box is hats, Xiao Ming cannot see what is inside the box, Xiao Ming opens the box and finds a notebook, there are no hats inside the box, Xiao Ming closes the box and puts it back in its place, Xiao Li enters the garage and sees the box.",What does Xiao Li see inside the box?,Notebook,Sees nothing,Hat,Scarf,B
"Xiao Ming and Xiao Li found the box in the garage, the label on the box is hat, Xiao Li and Xiao Ming opened the box and found the notebook did not see the hat. Xiao Li leaves the garage, Xiao Ming takes out the notebook and puts it in his bag and closes the box back to its original location.","Xiao Li returns to the garage, does Xiao Li know where the notebook is now?","She knows, in the box",She does not know,"She knows, in the bag","She knows, in the garage",B
"Xiao Li and Xiao Bei are wandering in the lounge. They see cabinets and suitcases, and inside the cabinet, they find buttons. Xiao Bei leaves the lounge, and Xiao Li moves the buttons to the suitcase.",Does Xiao Bei see anything in the suitcase?,A notebook,Does not see,Button,A scarf,B
"Xiao Li and Xiao Bei are wandering in the lounge. They see cabinets and suitcases, and inside the cabinet, they find buttons. Xiao Bei leaves the lounge, and Xiao Li moves the buttons to the suitcase.",Does Xiao Bei know where the buttons are now?,"He knows, in the cabinet","He knows, in the suitcase",He does not know,"He knows, in the basket",C
"Xiao Hong and Xiao Bei are wandering in the library. They see briefcases and cabinets, and inside the briefcase, they find a cup. Xiao Bei leaves the library, and Xiao Hong moves the cup to the cabinet.",Does Xiao Bei see anything in the cabinet?,A cup,Does not see,A briefcase,A Book,B
"Xiao Hong and Xiao Bei are wandering in the library. They see briefcases and cabinets, and inside the briefcase, they find a cup. Xiao Bei leaves the library, and Xiao Hong moves the cup to the cabinet.","Xiao Bei returns to the library, does Xiao Bei know where the cup is now?",Does not know,"Knows, in the backpack","Knows, in the cabinet","Knows, in the briefcase",A
"Xiao Ming and Yoyo are wandering on the farm with their handbags. They see backpacks and cabinets, and inside the backpack, they find a marker pen. Yoyo leaves the farm, and Xiao Ming moves the marker pen to the cabinet.",Does Yoyo see anything in the cabinet?,A marker pen,Does not see,A backpack,A handbag,B
"Xiao Ming and Yoyo are wandering on the farm with their handbags. They see backpacks and cabinets, and inside the backpack, they find a marker pen. Yoyo leaves the farm, and Xiao Ming moves the marker pen to the cabinet.","Youyou returns to the farm, does she know where the marker is now?",Does not know,"Knows, in the cabinet","Knows, in the backpack","Knows, in the cupboard",A
"Li Lei and Xiao Bei are hanging out at the bar. They see handbags and briefcases, and inside the handbag, they find a cup. Xiao Bei leaves the bar, and Li Lei moves the cup to the briefcase.",Does Xiao Bei see anything in the briefcase?,A cup,Does not see,A wine glass,A handbag,B
"Li Lei and Xiao Bei are hanging out at the bar. They see handbags and briefcases, and inside the handbag, they find a cup. Xiao Bei leaves the bar, and Li Lei moves the cup to the briefcase.","Xiao Bei returns to the bar, does Xiao Bei know where the cup is now?","Knows, in the briefcase","Knows, in the handbag",Does not know,"Knows, in the cupboard",C
"Xiao Li and Xiao Gang are hanging out at the bar. They see boxes and safes, and inside the box, they find a bottle. Xiao Gang leaves the bar, and Xiao Li moves the bottle to the safe.",Does Xiao Gang see anything in the safe?,A bottle,Does not see,A wine glass,A box,B
"Xiao Li and Xiao Gang are hanging out at the bar. They see boxes and safes, and inside the box, they find a bottle. Xiao Gang leaves the bar, and Xiao Li moves the bottle to the safe.","Xiao Gang returns to the bar, does Xiao Gang know where the bottle is now?",Does not know,"Knows, in the safe","Knows, in the cabinet","Knows, in the box",A
"Li Lei and Xiao Ming are wandering in the office. They see lockers and cabinets, and inside the locker, they find beets. Xiao Ming leaves the office, and Li Lei moves the beets to the cabinet.",Does Xiao Ming know what is in the cabinet?,Beets,Does not see,Lockers,Boxes,B
