cluster_id,question_index,story,question,option_a,option_b,option_c,option_d,correct_answer,cluster_summary
4,0,"At a downtown art gallery, there are 48 paintings on display. The curator remarks, ""Most are oil paintings, some are acrylics, and there are hardly any watercolors."" The assistant later counts and finds that there are 12 acrylics.","After counting, how many oil paintings does the assistant estimate?","After counting, the assistant estimates there are 36 oil paintings.","After counting, the assistant estimates there are 35 oil paintings.","After counting, the assistant estimates there are 30 oil paintings.","After counting, the assistant estimates there are 20 oil paintings.",B,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,1,"In a tech company’s storage, there are 90 portable devices. The IT lead tells the intern, ""The vast majority are laptops, some are tablets, and very few are desktops."" The intern checks and finds there are 20 tablets.",How many laptops does the intern estimate after checking?,"After checking, the intern estimates there are 70 laptops.","After checking, the intern estimates there are 68 laptops.","After checking, the intern estimates there are 60 laptops.","After checking, the intern estimates there are 20 laptops.",B,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,2,"For an online workshop, there are 55 registrants. The organizer notes, ""Most are students, some are teachers, and a handful are industry guests."" When the list is reviewed, it shows there are 18 teachers.",How many students does the organizer estimate?,The organizer estimates there are 37 students.,The organizer estimates there are 35 students.,The organizer estimates there are 32 students.,The organizer estimates there are 25 students.,C,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,3,"During a coastal survey, researchers catalog 40 fish caught near the pier. The lead biologist explains, ""Most are tuna, some are mackerel, and almost none are sardines."" Later, the team confirms there are 9 mackerel.",How many tuna does the lead biologist estimate?,The lead biologist estimates there are 31 tuna.,The lead biologist estimates there are 30 tuna.,The lead biologist estimates there are 25 tuna.,The lead biologist estimates there are 35 tuna.,B,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,4,"A charity campaign reports 100 individual donations this week. The coordinator tells a volunteer, ""Most came in online, some by phone, and very few by mail."" The volunteer tallies that 22 donations were by phone.",How many online donations does the volunteer estimate?,The volunteer estimates there are 78 online donations.,The volunteer estimates there are 76 online donations.,The volunteer estimates there are 72 online donations.,The volunteer estimates there are 50 online donations.,C,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,5,"At the campus cafeteria, 65 lunch orders were placed. The manager mentions, ""Most are vegetarian, some are chicken, and there are hardly any beef orders."" After sorting receipts, an employee counts 17 chicken orders.",How many vegetarian orders does the employee estimate?,The employee estimates there are 48 vegetarian orders.,The employee estimates there are 47 vegetarian orders.,The employee estimates there are 45 vegetarian orders.,The employee estimates there are 30 vegetarian orders.,C,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,6,"In a community photo contest, 36 photos were submitted. The organizer says, ""Most are landscapes, some are portraits, and a few are abstracts."" When categorized, it turns out there are 10 portraits.",How many landscapes does the organizer estimate?,The organizer estimates there are 26 landscapes.,The organizer estimates there are 25 landscapes.,The organizer estimates there are 23 landscapes.,The organizer estimates there are 18 landscapes.,C,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,7,"A reader’s digital library has 80 e-books. The reader remarks to a friend, ""Most are fiction, some are non-fiction, and only a few are poetry."" After checking the categories, the friend counts 25 non-fiction books.",How many fiction books does the friend estimate?,The friend estimates there are 55 fiction books.,The friend estimates there are 54 fiction books.,The friend estimates there are 50 fiction books.,The friend estimates there are 30 fiction books.,C,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,8,"At a farmers market, a vendor has 44 crates of fruit. She explains to her assistant, ""Most are apples, some are pears, and there are almost no plums."" After sorting, the assistant counts 12 crates of pears.",How many crates of apples does the assistant estimate?,The assistant estimates there are 32 crates of apples.,The assistant estimates there are 31 crates of apples.,The assistant estimates there are 28 crates of apples.,The assistant estimates there are 40 crates of apples.,B,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,9,"For a local film festival, 48 short films are scheduled. The coordinator tells a volunteer, ""Most are dramas, some are documentaries, and very few are experimental films."" The volunteer counts 14 documentaries.",How many dramas does the volunteer estimate?,The volunteer estimates there are 34 dramas.,The volunteer estimates there are 33 dramas.,The volunteer estimates there are 30 dramas.,The volunteer estimates there are 20 dramas.,B,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
