cluster_id,question_index,story,question,option_a,option_b,option_c,option_d,correct_answer,cluster_summary
3,0,"Mei finds a jar in the kitchen, the label on the jar is sugar, Mei cannot see what is inside the jar, Mei opens the jar and finds rice, there is no sugar inside the jar, Mei closes the jar and puts it back in its place, Kai enters the kitchen and sees the jar.",What should be inside the jar?,Rice,Sugar,Pasta,Coffee,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,1,"Omar finds a toolbox in the garage, the label on the toolbox is screws, Omar cannot see what is inside the toolbox, Omar opens the toolbox and finds a hammer, there are no screws inside the toolbox, Omar closes the toolbox and puts it back in its place, Lina enters the garage and sees the toolbox.",What should be inside the toolbox?,Screws,Hammer,Wrench,Glue,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,2,"Priya finds a drawer in the refrigerator, the label on the drawer is vegetables, Priya cannot see what is inside the drawer, Priya opens the drawer and finds soda cans, there are no vegetables in the drawer, Priya closes the drawer and puts it back in its place, Arjun enters the kitchen and sees the drawer.",What should be inside the drawer?,Vegetables,Soda,Ice,Yogurt,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,3,"Nora finds a folder in the office, the label on the folder is invoices, Nora cannot see what is inside the folder, Nora opens the folder and finds photographs, there are no invoices in the folder, Nora closes the folder and puts it back in its place, Marco enters the office and sees the folder.",What should be inside the folder?,Photographs,Invoices,Postcards,Maps,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,4,"Kenji finds an envelope on the coffee table, the label on the envelope is tickets, Kenji cannot see what is inside the envelope, Kenji opens the envelope and finds keys, there are no tickets in the envelope, Kenji closes the envelope and puts it back in its place, Hana enters the living room and sees the envelope.",What should be inside the envelope?,Stamps,Keys,Tickets,Money,C,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,5,"Zara finds a bin in the classroom, the label on the bin is markers, Zara cannot see what is inside the bin, Zara opens the bin and finds chalk, there are no markers in the bin, Zara closes the bin and puts it back in its place, Leo enters the classroom and sees the bin.",What should be inside the bin?,Chalk,Erasers,Markers,Crayons,C,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,6,"Mateo finds a crate at the market stall, the label on the crate is apples, Mateo cannot see what is inside the crate, Mateo opens the crate and finds oranges, there are no apples in the crate, Mateo closes the crate and puts it back in its place, Sofia enters the stall and sees the crate.",What should be inside the crate?,Bananas,Oranges,Apples,Grapes,C,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,7,"Liu finds a medicine bottle in the bathroom cabinet, the label on the bottle is vitamins, Liu cannot see what is inside the bottle, Liu opens the bottle and finds marbles, there are no vitamins in the bottle, Liu closes the bottle and puts it back in its place, Wei enters the bathroom and sees the bottle.",What should be inside the bottle?,Marbles,Vitamins,Bandages,Cookies,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,8,"Aisha finds a large bin by the back door, the label on the bin is recycling, Aisha cannot see what is inside the bin, Aisha opens the bin and finds trash, there is no recycling in the bin, Aisha closes the bin and puts it back in its place, Jamal enters the hallway and sees the bin.",What should be inside the bin?,Trash,Compost,Recycling,Leaves,C,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,9,"Pavel finds a suitcase in the hallway, the tag on the suitcase says clothes, Pavel cannot see what is inside the suitcase, Pavel opens the suitcase and finds books, there are no clothes in the suitcase, Pavel closes the suitcase and puts it back in its place, Irina enters the hallway and sees the suitcase.",What should be inside the suitcase?,Clothes,Books,Shoes,Towels,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,10,"Lena finds a locker in the gym, the label on the locker is towels, Lena cannot see what is inside the locker, Lena opens the locker and finds a helmet, there are no towels in the locker, Lena closes the locker and puts it back in its place, Marco enters the gym and sees the locker.",What should be inside the locker?,Towels,Helmet,Shoes,Water bottle,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,11,"Arun finds a ceramic jar in the kitchen, the label on the jar is sugar, Arun cannot see what is inside the jar, Arun opens the jar and finds salt, there is no sugar in the jar, Arun closes the jar and puts it back in its place, Mei enters the kitchen and sees the jar.",What should be inside the jar?,Salt,Flour,Sugar,Tea leaves,C,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,12,"Diego finds a cardboard box in the hallway, the label on the box is books, Diego cannot see what is inside the box, Diego opens the box and finds a vase, there are no books in the box, Diego closes the box and puts it back in its place, Nora enters the hallway and sees the box.",What should be inside the box?,Vase,Books,Plates,Blanket,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,13,"Fatima finds a drawer in the tool cabinet, the label on the drawer is screws, Fatima cannot see what is inside the drawer, Fatima opens the drawer and finds a paintbrush, there are no screws in the drawer, Fatima closes the drawer and puts it back in its place, Wei enters the workshop and sees the drawer.",What should be inside the drawer?,Nails,Paintbrush,Screws,Tape,C,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,14,"Jonas finds an envelope on the desk, the label on the envelope is photos, Jonas cannot see what is inside the envelope, Jonas opens the envelope and finds receipts, there are no photos in the envelope, Jonas closes the envelope and puts it back in its place, Priya enters the office and sees the envelope.",What should be inside the envelope?,Photos,Receipts,Postcards,Stickers,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,15,"Hana finds a plastic bin in the shed, the label on the bin is fertilizer, Hana cannot see what is inside the bin, Hana opens the bin and finds potting soil, there is no fertilizer in the bin, Hana closes the bin and puts it back in its place, Owen enters the shed and sees the bin.",What should be inside the bin?,Fertilizer,Potting soil,Seeds,Hose,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,16,"Kaito finds a folder in the office cabinet, the label on the folder is invoices, Kaito cannot see what is inside the folder, Kaito opens the folder and finds meeting notes, there are no invoices in the folder, Kaito closes the folder and puts it back in its place, Sara enters the office and sees the folder.",What should be inside the folder?,Invoices,Meeting notes,Contracts,Brochures,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,17,"Amira finds a crate at the market stall, the label on the crate is apples, Amira cannot see what is inside the crate, Amira opens the crate and finds tools, there are no apples in the crate, Amira closes the crate and puts it back in its place, Leo enters the stall and sees the crate.",What should be inside the crate?,Tools,Apples,Oranges,Bread,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,18,"Marta finds a case in the music room, the label on the case is flutes, Marta cannot see what is inside the case, Marta opens the case and finds drumsticks, there are no flutes in the case, Marta closes the case and puts it back in its place, Pavel enters the music room and sees the case.",What should be inside the case?,Drumsticks,Flutes,Violin,Sheet music,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,19,"Noor finds a freezer bag in the kitchen, the label on the bag is berries, Noor cannot see what is inside the bag, Noor opens the bag and finds sliced bread, there are no berries in the bag, Noor closes the bag and puts it back in its place, Ella enters the kitchen and sees the bag.",What should be inside the bag?,Berries,Ice,Bread,Vegetables,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
4,0,"A school club registers 26 volunteers for weekend activities. The organizer says that most will choose recycling duty, some will choose tutoring, and almost none will choose poster-making. Later, they check the sign-up sheet and see that only 5 volunteers chose tutoring.","After checking, how many do they guess chose recycling duty?",22 volunteers chose recycling duty.,25 volunteers chose recycling duty.,19 volunteers chose recycling duty.,24 volunteers chose recycling duty.,C,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,1,"A cafe prepared 18 sandwiches for a small meeting. The manager says that most are vegetarian, a few are chicken, and almost none are tuna. When the meeting starts, staff count and find that 4 of them are chicken.","After counting, how many do they guess are vegetarian?",15 sandwiches are vegetarian.,12 sandwiches are vegetarian.,16 sandwiches are vegetarian.,14 sandwiches are vegetarian.,B,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,2,"For a workshop with 40 attendees, the coordinator announces that most prefer the morning session, some prefer the afternoon, and very few prefer the evening. When registration closes, they see that 11 attendees selected the afternoon session.","After registration closes, how many do they guess prefer the morning session?",31 attendees prefer the morning session.,27 attendees prefer the morning session.,35 attendees prefer the morning session.,38 attendees prefer the morning session.,B,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,3,"A neighborhood book swap collected 22 books. Organizers tell visitors that most are mysteries, some are non-fiction, and almost none are poetry. After sorting, they note that 6 are non-fiction.","After sorting, how many do they guess are mysteries?",17 mysteries.,14 mysteries.,19 mysteries.,20 mysteries.,B,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
4,4,"A customer survey gathered 25 feedback forms. The staff say that most rated the service as good, some as average, and very few as poor. After tallying, they find that 7 are average.","After tallying, how many do they guess rated the service as good?",20 rated good.,23 rated good.,16 rated good.,24 rated good.,C,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
