STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
"Xiao Hong is a 6-year-old child. Today is Saturday. Mom and Dad have free time today, they do not know what they can do together. Maybe go for ice cream? Xiao Hong really, really wants to go to the amusement park today. However, Dad thinks the amusement park has a lot of noise. He says: ""Xiao Hong, this is not a good idea. I think there is a lot of noise in the amusement park.""",How does Xiao Hong persuade her dad?,"Xiao Hong can look up some information, proving that the current amusement parks take many measures to reduce noise, such as setting up soundproof walls, using quieter equipment, etc.","Xiao Hong can tell her dad that she has not been to the amusement park for a long time, this is a very special wish for her, she really wants to go.","If Dad really does not want to go to the amusement park, Xiao Hong can suggest going to other places, such as parks or zoos, so everyone is happy.","Xiao Hong can suggest: ""How about we go in the early morning or on weekdays? I hear that there are fewer people at that time, and it is quieter. We can avoid peak hours, and get a quieter experience.""",B
"Zhang San and Li Si are college roommates. Today is the weekend, a rare rest day, they do not know where to go for fun. Zhang San suggests going to the amusement park, he really wants to go. However, Li Si worries that there are too many people.",How does Zhang San convince Li Si to go to the amusement park?,"We can go first, if we feel there are too many people, then we look for other places to play.","Li Si, a crowd means it is lively, if we queue, we can chat and play with our phones while queuing, it is not boring.","Do you remember last time we want to go on that new roller coaster, but we do not have time? This time we have the chance, if we miss it, we do not know when the next time is.","Actually, I hear that the snacks in the amusement park are very delicious, even if there are many people, we can go to eat.",C
"Xiao Ming is 5 years old this year and he really likes toys. He and his parents see a toy car while shopping, and he really likes it. But his mother thinks there are already enough toys at home, and this car has too many parts, which makes the house messy. His mother says, ""You already have a lot of toys, and this car has too many parts, it is not good for you to throw them around.""",How does Xiao Ming persuade his mother to buy a toy car?,"Mom, I promise to carefully put away each part after playing each time, so as not to make the house messy.","Mom, we can donate or give away the toys I don't play with to other children, so there won't be too many toys at home.","Dad cleans up the parts, Mom, you don't have to worry.","Mom, I have never seen such a toy car, it is very special, I really like it.",A
"Xiao Ming and Xiao Qiang are college roommates, but their majors are different, so they do not communicate much. In the evening, Xiao Ming suddenly receives a notice that he needs to submit an assignment, which requires a computer, but his computer is in the lab. Xiao Ming hopes to borrow Xiao Qiang's computer. However, Xiao Qiang says that he has an appointment with his friends to play online games together in the evening.",How does Xiao Ming persuade Xiao Qiang to lend him the computer?,"Qiang, if you lend me your computer now, I can find a place to do my homework, and you and your friends can play games elsewhere.","I really do not expect to have such an urgent assignment, if I do not submit it, my grades may be affected. Can you help me?","Xiao Qiang, can you lend me your computer tonight? I can lend you my computer for the whole day tomorrow, so you can have more time to play with your friends.","Xiao Qiang, can you lend me your computer? I will return it to you as soon as possible, and I treat you to milk tea tomorrow.",D
"Zhang San works at a certain company, the place where he sits is a bit cold, he feels that his colleague Wang Wu's place is very comfortable. Therefore, he hopes to switch places with Wang Wu.",How does Zhang San persuade Wang Wu to switch seats with him,"Zhang San can say: ""Brother Wu, my seat is too cold, can we switch seats? I help you share more work, how about it""","Zhang San can first apply to the leader, and then say to Wang Wu: ""Wang Wu, the leader lets me switch places with you.""","Zhang San can suggest: ""We can try to switch for a day or two, if you feel uncomfortable, we switch back.""","Zhang San can sincerely say: ""Wang Wu, I really feel too cold here, can you help me? I really need it.""",A
"Xiao Qiang is in junior high school this year. This morning, he rushes out the door and forgets to bring his homework. He tells Teacher Li about this situation, but considering that he often fails to hand in or misses homework, and his grades are not very good, Teacher Li thinks he is lying.",How does Xiao Qiang convince Teacher Li that he really does not bring his homework?,"Xiao Qiang takes out his backpack, shows the contents of his backpack to Teacher Li, proving that he really does not bring his homework.","Xiao Qiang can suggest that after school, he invites Teacher Li to his house to check the homework book, proving that he indeed does the homework.",Xiao Qiang provides photos or videos of doing homework the night before as evidence.,"Xiao Qiang tells Teacher Li that he is willing to redo the homework after school or during the break, to prove his true intentions.",C
"Zhang San is an engineer at the company, and Li Si is Zhang San's leader. This morning, Li Si suddenly wants to drink coffee, but the coffee shop is a bit far from the company, and Li Si does not want to go buy it himself. So Li Si asks Zhang San to go buy coffee for him now.",How does Li Si persuade Zhang San to go buy coffee for him now?,"Zhang San, I hear that the coffee shop has a new flavor, how about we go buy a cup of coffee together, I treat?","Zhang San, you just finish that project very well, as a reward from me, can you help me buy a cup of coffee?","Zhang San, you should have free time during your lunch break, if it is convenient, can you help me buy a cup of coffee then?","Zhang San, can you go to the coffee shop to buy me a cup of coffee?",D
"Xiao Ming is 6 years old this year, and Zhang Hong is Xiao Ming's mother. Zhang Hong hopes to let Xiao Ming do some housework, such as sweeping and mopping the floor, to lighten her housework burden and at the same time exercise Xiao Ming's life skills.",How does Zhang Hong convince Xiao Ming to do housework?,"Zhang Hong can demonstrate the process of doing housework in front of Xiao Ming, let Xiao Ming see how mom does it, and encourage him to participate.","Zhang Hong can tell Xiao Ming some stories about children helping with housework, making him have the desire to imitate.","Zhang Hong can promise that whenever Xiao Ming completes a certain housework, she can give him some rewards, such as his favorite snacks or extra playtime.","Zhang Hong can play a ""housework game"" with Xiao Ming, making Xiao Ming feel that doing housework is a fun activity, not just work.",C
"Zhang San is an engineer in the company, he works hard and diligently. In a work report, Zhang San proposes his new idea for software development, but Li Si, as his leader, thinks that this plan has technical and economic implementation difficulties.",How does Zhang San persuade Li Si?,"Zhang San can emphasize how much effort he puts in, hoping that Li Si supports his plan based on trust in him.",Zhang San can present successful cases of similar plans in other companies.,Zhang San can persuade Li Si through other colleagues or channels.,"Zhang San can invite Li Si to participate in a key link of the plan, letting him experience and understand the implementation process of the plan.",B
"Xiao Ming is 8 years old, he likes to watch cartoons. Today, he and his grandfather are watching TV, the TV is playing his grandfather's favorite Peking Opera, but Xiao Ming wants to watch cartoons.",How does Xiao Ming persuade his grandfather?,"Grandpa, I know you like Peking Opera, but I also hope you understand my interest. If you think cartoons are not good, we can switch back.","Grandpa, I really like this cartoon, I want to watch it now. Can you accompany me to watch it, just for a while.","Grandpa, we can watch cartoons while eating snacks, this is more fun!","Grandpa, I have seen some traditional cultural content in this cartoon before, maybe you are interested.",B
