model_combination,story_snippet,question_snippet,num_models,intersection_size
"Claude, gemini, gpt5.1, llama_merged, qwen_merged",Xiao Hua is in the kitchen preparing dinner when suddenly he hears the doorbell ,What does Xiao Hua do next after hearing Xiao Li's invitation?,5,4
"Claude, gemini, gpt5.1, llama_merged, qwen_merged","Li Hua is a person who is passionate about outdoor adventures, and he goes hikin",Where does Li Hua plan to spend the weekend with Wang Fang?,5,4
"Claude, gemini, gpt5.1, llama_merged, qwen_merged",Jianning and Mingkai are the co-captains of the football team. They still lack o,What does Taotao do next?,5,4
"Claude, gemini, gpt5.1, llama_merged, qwen_merged","Emily finds a book she really wants to read in the library, but discovers the bo",What kind of emotion does Emily feel after she realizes she takes the wrong book,5,4
"gemini, gpt5.1, llama_merged","Zhang Hua is preparing the last artwork for the art exhibition, while his friend","After Zhang Hua handles the sudden situation, what does he do first?",3,1
"gemini, llama_merged",Xiao Hong and Xiao Fang watch other children play on the playground. They chat a,What does Xiao Mei do next?,2,1
"Claude, gemini, llama_merged, qwen_merged","Xinxin wants to go to her friend's party tonight, but she has a stomachache. She",What are Xinxin's real feelings?,4,2
"Claude, gemini, llama_merged, qwen_merged","Zhiwei and Xiaolan are planning a short trip, they are sitting on a park bench f","After Zhiwei notices Mingda, what is his next action?",4,2
Claude,"Last Friday, all classmates in the fifth grade of elementary school participate ","If there is one, which sentence is inappropriate?",1,1
"Claude, llama_merged","Xinxin wants to go to her friend's party tonight, but she has a stomachache. She",Why is Xinxin's true feeling sad?,2,1
"Claude, gpt5.1, qwen_merged",Xiao Hong is a 6-year-old child. Today is Saturday. Mom and Dad have free time t,How does Xiao Hong persuade her dad?,3,1
"gpt5.1, llama_merged","Tara is a curious robot, living in an underwater city called Aquatica in the dee",What is Tara likely imitating?,2,1
gpt5.1,"Xiao Ming and Xiao Li are wandering in the bank, they see a handbag and a box, t","After Xiao Li returns to the bank, does Xiao Li know where the chalk is now?",1,2
gpt5.1,"Dongdong and Xixi are fixing a car in the park, preparing for a weekend outing. ",What does Dongdong want to do?,1,2
"gpt5.1, llama_merged, qwen_merged","Zhang San and Li Si are college roommates. Today is the weekend, a rare rest day",How does Zhang San convince Li Si to go to the amusement park?,3,1
"llama_merged, qwen_merged",Xiao Hong and Xiao Fang watch other children play on the playground. They chat a,Why does Xiao Hong smile at Xiao Fang?,2,2
"llama_merged, qwen_merged","In a space station on the orbit of a distant planet, a robot named Tinklo lives.",What does Tinklo possibly imitate?,2,2
llama_merged,"On a sunny weekend afternoon, Li Juan, Wang Qiang, and Xiao Fang play toys toget",What does Xiao Fang most likely do?,1,2
llama_merged,"Emily finds a book she really wants to read in the library, but discovers the bo","Kate knows Emily takes the wrong book, but she chooses not to tell Emily, what k",1,2
qwen_merged,The little boy Tom finds some money on his way home from school. He is very happ,What does Tom do after he helps the aunt pick apples?,1,1
