layer3_cluster_label,layer3_summary,num_layer2_clusters,total_original_items,original_indices_sample,layer2_cluster_labels
0,"Both reasons describe the model over‑relying on stereotypical associations between surface events and emotions or roles, instead of analyzing the nuanced situational and linguistic context. It privileges salient, binary structures—success vs failure, excitement vs fear, victory vs lack of credit—while neglecting subtle narrative signals such as quoted remarks, temporal focus, mixed feelings, and local conversational triggers that human raters attend to. As a result, divergences often arise in ambiguous cases where several readings are reasonable, but the answer key favors the more context‑sensitive, fine‑grained appraisal.",2,17,"[95, 164, 488, 584, 596, 680, 716, 754, 873, 903, 1054, 1062, 1238, 1512, 1557, 1579, 1591]","[29, 43]"
1,"Across these reasons, the model resolves under‑specified stories by clinging to salient surface cues—explicit constraints, vivid phrases, similes, traits, or labels—and to generic commonsense scripts, often tracking literal world state over mental perspectives. Humans and gold labels instead privilege pragmatic subtext, narrative plausibility, social norms, and the question‑setter’s likely intention, so ambiguities in time, modality, verbs like “know/remember,” and phrases like “should be” get interpreted as Theory‑of‑Mind or expectation tasks. Thus divergences mostly reflect misweighted evidence and evaluation misalignment, not wholesale failures of coherent reasoning.",8,69,"[27, 49, 90, 154, 187, 188, 189, 240, 250, 261, 271, 291, 449, 450, 563, 566, 570, 595, 602, 621]","[4, 28, 42, 44, 49, 65, 69, 73]"
2,"Across the cluster, the model over-relies on literal, local cues—keywords, explicit actions, stereotyped roles, and spoken assertions—while underweighting broader narrative context, timeline, and narrator-provided mental states. It repeatedly defaults to generic, prosocial or emotionally warm scripts and logistically simple explanations instead of integrating cultural norms, power dynamics, world-building constraints, and character‑specific motives to infer covert intentions, mixed emotions, or strategic persuasion. Consequently, its answers are often superficially plausible and text-compatible yet misaligned with the stories’ deeper Theory-of-Mind logic, pragmatic implicatures, and the human preference for context-integrated, goal-directed reasoning.",16,174,"[4, 19, 21, 50, 57, 68, 70, 72, 91, 100, 112, 119, 148, 162, 163, 194, 196, 200, 205, 210]","[5, 13, 19, 21, 23, 25, 31, 35, 48, 51, 52, 53, 55, 74, 75, 77]"
3,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations.",10,100,"[30, 35, 38, 87, 93, 106, 108, 118, 124, 129, 133, 153, 158, 190, 222, 229, 235, 242, 315, 327]","[3, 11, 15, 16, 34, 41, 47, 61, 62, 71]"
4,"These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder.",13,62,"[0, 12, 18, 45, 62, 76, 131, 147, 165, 278, 384, 419, 442, 444, 480, 481, 513, 531, 580, 676]","[2, 7, 18, 26, 27, 33, 37, 38, 39, 57, 68, 72, 79]"
5,"Across the cluster, the model applies a rigid, literal, text-bound standard for knowledge, emotion, and belief, demanding explicit evidence or over-generalizing any stated fact, while human annotators lean on pragmatic, cultural, and narrative background assumptions. It underweights timing, perspective, figurative language, task framing, and diagnostic later cues, instead privileging narrator omniscience, generic rules, salient keywords, and stereotyped emotional or moral responses, often retreating to “cannot be determined.” Thus disagreements are usually not logical errors but policy mismatches: locally coherent, risk-averse readings versus socially attuned, exam-normative interpretations.",8,49,"[24, 65, 167, 202, 247, 283, 463, 486, 541, 619, 622, 692, 712, 735, 787, 808, 843, 859, 880, 902]","[14, 17, 22, 30, 46, 50, 58, 70]"
6,"Across the cluster, the model does shallow pattern‑matching from salient surface cues or keywords to stereotyped single emotions, over‑relying on initial events, generic social heuristics, and lexical echoes of labels. It systematically underweights broader narrative structure, temporal shifts, subtle discourse markers, social‑relational norms, and question framing about whose perspective, which timepoint, and whether inner feelings or outward appearance are being asked about. Many vignettes are genuinely ambiguous, so disagreements usually reflect miscalibrated evidence weighting and exam‑style label conventions rather than deep Theory‑of‑Mind failure.",12,88,"[26, 41, 64, 82, 83, 86, 213, 215, 322, 337, 380, 431, 507, 510, 515, 518, 557, 567, 600, 609]","[0, 9, 20, 24, 32, 36, 40, 59, 60, 66, 67, 78]"
7,"Across the reasons, the model is portrayed as over-relying on decontextualized, surface-level heuristics—logical consistency, grammaticality, explicit politeness, stated rules—while underweighting pragmatic subtext, relational dynamics, and high-context cultural (often Chinese) norms. All accounts emphasize a recurring misreading of what “inappropriate” or “problematic” is meant to target: the model maps it to contradiction or rudeness, whereas humans track face-saving, power asymmetries, emotional sensitivity, and test-writer intent. The cluster also repeatedly notes task ambiguity, allowing both coherence-focused and norm-focused answers to be partially defensible despite divergent reasoning.",5,72,"[20, 61, 66, 98, 103, 105, 140, 151, 220, 264, 281, 329, 381, 393, 395, 406, 408, 437, 469, 494]","[6, 8, 12, 45, 54]"
8,"Across this cluster, the model repeatedly ignores the zero-sum, competitive framing and instead attributes generic self-conscious emotions such as guilt, shame, or fear of judgment to the protagonist. Even when the narrative explicitly states that the character gains if a rival is harmed or disadvantaged, the model downplays these instrumental motives and fails to represent envy or strategic satisfaction. This pattern reveals an overreliance on abstract moral-psychology heuristics and prosocial bias, combined with insufficient use of concrete, situation-specific cues about competition, conflicting interests, and plausible non-moral emotions.",1,2,"[1189, 1919]",[64]
9,"Across this cluster, the model’s answers systematically diverge from the key because it adopts a different interpretive frame, often privileging either sophisticated social-pragmatic reasoning or strict textual literalism over the test’s intended commonsense shortcuts. It frequently over-attributes adult-like inferential abilities, world-knowledge, or role-based pretend commitments to characters—especially children—while underweighting developmental heuristics, story-specific constraints, and the task’s objective truth-conditional standards. As a result, many “errors” reflect frame or cue-weighting mismatches rather than genuine Theory of Mind deficits, sometimes making the model’s reasoning more internally coherent than the human key.",5,12,"[293, 412, 689, 737, 1026, 1284, 1302, 1310, 1405, 1694, 1722, 1973]","[1, 10, 56, 63, 76]"
