global_index,question_index,set_id,part_id,conv_id,qa_type,gold,prediction,correct
1,1,0-0-0,0-0,0,FactQ,"Sara and Javier discussed their experiences training their pets, Bruno and Snowflake.",Javier and Sara discussed their experiences training Bruno and Snowflake.,0
2,2,0-0-1,0-0,0,FactQ,Javier's pet Bruno and Sara's pet Snowflake were being discussed.,Javier's and Sara's pets were being discussed.,0
3,3,1-0-0,1-0,1,FactQ,"Fatima overcomes the challenge of dealing with different personalities at work by observing, learning, and adopting certain assertive communication strategies.","By observing, learning, and adopting assertive communication strategies.",0
4,4,1-0-1,1-0,1,FactQ,Christian uses regular exercise and meditation to manage stress in his high-pressure work environment.,Christian uses regular exercise and meditation to manage stress.,0
5,5,2-0-0,2-0,2,FactQ,"Kali's family tradition is that every Sunday they all gather and have brunch together. During this brunch, each member shares one positive thing that happened in their week.",Kali's family gathers for a neon-lit brunch together every Sunday.,0
6,6,2-0-1,2-0,2,FactQ,"Emanuel's family hosts a big potluck with their extended family during the holiday season. Everyone brings a dish, they spend the day catching up, and they have a friendly competition for who brings the best dish.","Every holiday season, they host a big potluck with their extended family.",0
7,7,2-0-2,2-0,2,FactQ,Emanuel's Aunt Martha usually wins the friendly competition for the best dish at his family gatherings.,Emanuel's Aunt Martha usually wins the friendly competition for the best dish.,0
8,8,2-1-0,2-1,2,FactQ,"Emanuel's family potluck tradition involves hosting a large potluck with their extended family during the holiday season, where everyone brings a dish and they spend the day catching up. They also have a friendly competition for who can bring the best dish. Currently, the titleholder for the best dish is Emanuel's Aunt Martha, who makes an incredible apple pie.","Emanuel's family hosts a big potluck with their extended family every holiday season, and his Aunt Martha is the current titleholder for the best dish.",0
9,9,3-0-0,3-0,3,FactQ,Elena's special challenge in parenting was maintaining a balance between wanting to protect and nurture her child but also letting him learn things by himself.,Maintaining a balance between wanting to protect and nurture her child but also letting him learn things by himself.,0
10,10,3-1-0,3-1,3,FactQ,"The group discussed that every child has its own pace and style of learning. There is no definitive timetable for developmental milestones and the range of what is considered 'normal' is quite wide. They also emphasized the importance of not comparing a child's development with others, as every child is unique. Another key point raised was the importance of focusing on enjoying each moment instead of falling into the comparison trap.","The group emphasized that every child is different, has its own pace and style of learning, and that parents should not compare their child's development with others.",0
11,11,3-1-1,3-1,3,FactQ,"The responsibilities discussed by the group included fostering emotional connections with their children and creating a safe space for open communication. They also talked about letting their children learn by themselves while still providing the necessary protection and nurturing, as well as putting in the effort to avoid comparing their children's development with others'. Balancing career responsibilities with being there for their children and dealing with parenting challenges were also discussed.","Balancing career and being present for children, balancing protection with fostering independence, and creating strong emotional connections through open communication.",0
12,12,3-1-2,3-1,3,FactQ,"The group agreed on the importance of fostering strong emotional connections with their children. Kobe emphasized on creating a bond where his daughter can feel free to ask him anything, stressing open communication. Elena echoed these thoughts, talking about creating a safe space for her son and encouraging empathy, understanding, and open communication for his emotional growth. Richard, the pediatrician, agreed, saying he guides parents towards creating such environment for their children. He also said that these insights help him to consider the emotional well-being of the child along with their physical health.","The group believes fostering strong emotional connections through open communication, empathy, and creating a safe space is vital for a child's emotional growth and overall well-being.",0
13,13,4-0-0,4-0,4,FactQ,Alayna was predominantly raised by her mom and her older sister after her parents separated.,Alayna was mostly raised by her mom and her older sister.,0
14,14,4-0-1,4-0,4,FactQ,Alayna took away lessons about resilience and coping with change from her upbringing.,Her upbringing taught her about resilience and coping with change.,0
15,15,4-1-0,4-1,4,FactQ,Alayna's mom and her older sister primarily raised her after her parents' separation.,Her mom and her older sister.,0
16,16,4-2-0,4-2,4,FactQ,"The discussion covered a range of personal experiences related to family structures, upbringing, aging and health, and parenting styles. Jaden shared that he grew up in a traditional family setting with two parents and siblings, whereas Alayna grew up in a split family, mainly raised by her mother and older sister. Joaquin's family blended Mexican and Italian cultures, which created some interesting dynamics. Regarding health, Titus mentioned that the discipline from his martial arts training helped him maintain physical well-being, while Jaden regularly jogs, Alayna focuses on mindful eating, and Joaquin balances his love for pasta and cheese with greens and lean protein. Finally, different parenting styles were brought up. Eliza’s parents were a blend of authoritative and permissive, Alayna’s mother was nurturing, Titus’ parents were authoritarian, and Joaquin’s family had an egalitarian approach. Jaden’s parents were democratic and allowed equal participation in decision making.","The personal experiences shared were about family and upbringing, aging and health, and parenting styles.",0
17,17,4-2-1,4-2,4,FactQ,"The conversation about aging and health began with Titus sharing how discipline from his martial arts training in his youth helped him maintain his physical well-being as he aged. Jaden mentioned how jogging helped him stay fit, while Alayna emphasized the importance of mindful eating. Joaquin shared his challenge of balancing his love for pasta and cheese with the need for healthier food options. Lastly, Titus concluded by saying that our lifestyle choices greatly affect our health and longevity despite our varied backgrounds. The discussants also agreed that everyone had their own unique approach to maintaining health with age.","The conversation involved participants sharing personal strategies for maintaining health while aging, such as discipline from martial arts, jogging, mindful eating, and balancing cultural foods.",0
18,18,5-0-0,5-0,5,FactQ,"Ryleigh, Lyric, and Edwin were discussing their thoughts about the future and their plans or goals.",They were discussing their thoughts about the future and their plans.,0
19,19,5-0-1,5-0,5,FactQ,"They all agreed that their background, specifically their childhood experiences, significantly contributed to their identities. Ryleigh cherished the lively and chaotic atmosphere of their big family, while Lyric and Edwin developed a love for solitude and introspection from their quieter upbringing. These experiences impacted their current personalities and perspectives.",They felt their childhood experiences truly shaped who they are today.,0
20,20,5-0-2,5-0,5,FactQ,The conversation topic shifted to their goals or aspirations for the future when Shayla joined the discussion.,"The conversation topic shifted to the future, goals, and aspirations.",0
21,21,6-0-0,6-0,6,FactQ,"Alana's favorite travel destination was Bali, Indonesia and Drake's favorite was Greece.","Alana's favorite travel destination was Bali, Indonesia, and Drake's was Greece.",0
22,22,7-0-0,7-0,7,FactQ,Summer enjoys the Harry Potter series by J.K. Rowling.,Summer enjoys the Harry Potter series by J.K. Rowling.,1
23,23,7-0-1,7-0,7,FactQ,"Russell's favorite books are ""And Then There Were None"" and ""Murder on the Orient Express"" by Agatha Christie.","Russell's favorite books are ""And Then There Were None"" and ""Murder on the Orient Express,"" both by Agatha Christie.",0
24,24,8-0-0,8-0,8,FactQ,"Orlando initially advised Curtis that networking is crucial in job hunting. He suggested making as many connections as possible, as it could potentially help him land a job. He also emphasized the importance of leveraging any contacts within the companies Curtis is interested in, stating that people tend to hire those they know and trust. Additionally, he warned that many job openings are filled before becoming public and recommended Curtis to prepare an elevator pitch for surprise encounters with potential employers.","Networking is key, so be sure to meet as many people as possible.",0
25,25,8-0-1,8-0,8,FactQ,Orlando told Curtis to prepare an elevator pitch.,Orlando told Curtis to always be prepared with his elevator pitch.,0
26,26,8-1-0,8-1,8,FactQ,"Orlando and Mia recommended that Curtis should network and build personal relationships in the industry where he is applying for a job. They stressed the importance of using these connections to learn about job openings, often before they are publically advertised. Orlando also suggested that Curtis should always be prepared with an elevator pitch. Mia added that confidence and staying positive throughout the job search process is crucial.",Orlando and Mia recommended networking and leveraging personal relationships.,0
27,27,8-1-1,8-1,8,FactQ,"Orlando and Mia stressed the importance of networking and in-person relationships in job hunting because many times, job openings are filled even before they become public, often through internal referrals. Moreover, having an insider's knowledge about the company can give a job seeker an edge. They also highlighted that people tend to hire individuals they know and trust. Additionally, networking can lead to crucial introductions and opportunities that wouldn't be available through traditional job application methods.","Job openings are often filled before they are advertised, and personal connections can give an advantage.",0
28,28,8-1-2,8-1,8,FactQ,Orlando and Mia suggested that job openings are often filled before they are publicly announced. They noted that many vacancies might not even get advertised and are filled through networking and internal referrals.,Many times.,0
29,29,9-0-0,9-0,9,FactQ,"Mariana plans to take her fitness more seriously by setting small, achievable goals for herself. She is also inspired to start maintaining a healthier diet and to make efforts to manage and improve her mental health.","Mariana plans to take her health and fitness more seriously by setting small, achievable goals for herself.",0
30,30,10-0-0,10-0,10,FactQ,"Lyric and Bethany were discussing their favorite video games. Bethany stated that The Witcher 3: Wild Hunt was her favorite due to its immersive world, deeply touching storylines, and the freedom of decision making which gives it replayability. Lyric's favorite was the Metal Gear Solid Series, particularly Metal Gear Solid 3: Snake Eater for its intricate storylines, game mechanics, and character development. They both expressed interest in trying each other's favorites.",They were discussing their all-time favorite video games and their experiences with each other's preferred series.,0
31,31,10-0-1,10-0,10,FactQ,"Lyric appreciates the intricate storylines, game mechanics, and character development in the Metal Gear Solid series. On the other hand, Bethany appreciates the immersive world, touching storylines, and decision-making freedom in The Witcher 3.","Lyric appreciated intricate storylines, game mechanics, and character development, while Bethany loved an immersive world, deeply touching storylines, freedom of decision-making, and replayability.",0
32,32,10-0-2,10-0,10,FactQ,Metal Gear Solid 3: Snake Eater,Metal Gear Solid 3: Snake Eater.,0
33,33,10-1-0,10-1,10,FactQ,"Bethany prefers The Witcher 3: Wild Hunt, while Lyric prefers the Metal Gear Solid Series, particularly Metal Gear Solid 3: Snake Eater.","Bethany prefers The Witcher 3: Wild Hunt, and Lyric prefers the Metal Gear Solid Series, particularly Metal Gear Solid 3: Snake Eater.",0
34,34,10-1-1,10-1,10,FactQ,Lyric,"Lyric showed a preference for the board game ""Settlers of Catan"".",0
35,35,10-1-2,10-1,10,FactQ,The group planned to arrange a board game night that would also include discussions on video games.,A board game night with video game discussions was planned.,0
36,36,11-0-0,11-0,11,FactQ,Marvin shared that his personal growth was about learning how to be okay with failure and treat it as a learning opportunity instead.,Marvin shared about learning to be okay with failure and treating it as a learning opportunity.,0
37,37,11-0-1,11-0,11,FactQ,"Charlie's ongoing goal is to become a published author. He is working towards it by constantly enhancing his writing abilities. He is also planning to finish his novel this year. Furthermore, he practices meditation to keep his mind calm and focused on his work.","Charlie's ongoing goal is to become a published author, which constantly pushes him to enhance his writing abilities.",0
38,38,11-0-2,11-0,11,FactQ,Kira shared that she achieved her goal of becoming more assertive and being able to voice her perspective without hesitation. Her new goal is to learn a new language to widen her horizons and boost her cultural intelligence.,"Kira achieved the ability to comfortably voice her individual perspective without hesitation, and her new goal is to learn a new language.",0
39,39,11-1-0,11-1,11,FactQ,"Marvin's personal goal was to learn how to be okay with failure and treat it as a learning opportunity. This was challenging for him, but it allowed him to grow significantly and maintain mental peace.

Charlie's ongoing personal goal is to become a published author. This goal continually pushes him to enhance his writing skills. His goal for this year specifically is to finish writing his novel. Writing has also taught him the importance of maintaining mental equilibrium as it can be a frustrating process sometimes.

Kira set a personal goal, a few years ago, to become more assertive. She has since grown to a point where she can comfortably voice her individual perspective without hesitation. For this year, her goal is to learn a new language to widen her horizons and boost her cultural intelligence. In terms of mental and emotional wellbeing, Kira found it important to keep her self-talk positive and motivating on her journey to becoming more assertive.","Marvin's goal to be okay with failure aided his emotional growth, Charlie's goal to become a published author enhanced his writing, and Kira's goal to be more assertive allowed her to voice her perspective comfortably.",0
40,40,11-1-1,11-1,11,FactQ,"The participants shared several strategies for maintaining mental and emotional health. Marvin talked about treating failure as a learning opportunity and not being too hard on himself. Charlie mentioned using meditation to keep his mind clear and stay focused. Kira emphasized keeping positive self-talk and avoiding self-doubt and fear. Natasha shared that making time for activities that she enjoys like reading a good book or taking a leisure walk and not always being preoccupied with work or goals helps boost her mood and overall wellbeing. Kiana pointed out the need for healthy work-life balance by dedicating specific times for work, personal growth, and leisure.","Strategies included learning to not be too hard on oneself, using meditation, maintaining positive self-talk, making time for enjoyable activities, and balancing different life aspects.",0
41,41,11-1-2,11-1,11,FactQ,"Natasha shared that making time for activities that she enjoys and not always being preoccupied with work or goals have greatly helped in boosting her mood and overall wellbeing. She mentioned that sometimes, it's as simple as taking a leisure walk or reading a good book.",Making time for enjoyable activities and not always being preoccupied with work or goals greatly helps boost her mood and overall wellbeing.,0
42,42,12-0-0,12-0,12,FactQ,"Isabel's specific financial goal is to buy her own house before she reaches the age of 30. Her strategy to achieve this goal is to maintain a steady saving habit, specifically focusing on saving for the down payment for her house.","Isabel's specific financial goal is buying her own house before reaching 30, and her strategy is saving for the down payment while factoring in interest rates and inflation.",0
43,43,12-0-1,12-0,12,FactQ,Shane's financial goal is to establish multiple streams of passive income that can sustain his living even when he's not actively working. He plans on accomplishing it through investments in stock and real estate.,"Shane's financial goal is to have multiple streams of passive income to sustain his living, which he plans to accomplish through stock and real estate investments.",0
44,44,12-0-2,12-0,12,FactQ,Presley's financial aim is to create a safety net for emergencies and for potential investments. His approach or strategy to achieve this goal is to save at least 40% of his income.,Presley aims to save at least 40% of his income to create a safety net for emergencies and potential investments.,0
45,45,13-0-0,13-0,13,FactQ,"The topics of discussion between Megan and Jimmy were ethical concerns related to technology, primarily focusing on data privacy, security issues such as data breaches, the lack of transparency from tech companies about their data usage, and the potential harm that can come from the misuse of personal information. They also discussed the need for reforms in the tech industry and the concept of data ethics.","Megan and Jimmy discussed ethical concerns in technology, data privacy, data usage by tech companies, and data breaches.",0
46,46,14-0-0,14-0,14,FactQ,"Juliette and Aubree discussed their personal beliefs of equality, justice, and the importance of collective action. They both agreed that everyone deserves equal opportunities, regardless of their background or circumstances, and that their belief in this concept was the core bedrock of their political values. Aubree shared how her high school experience, particularly student protests, reinforced these ideas and highlighted the significance of collective action.",Juliette and Aubree discussed their shared beliefs in equality and justice.,0
47,47,14-0-1,14-0,14,FactQ,"They highlighted that collective action and protests are important platforms to voice concerns and demand action for equality and justice. They provide valuable lessons on the importance of standing up for the rights of all individuals and not just a select few. They also identified that collective actions can lead to meaningful changes, thus shaping the world around us. They emphasized that even small actions matter in this fight.","They highlighted that collective action and protests create visibility, awareness, allow people to voice concerns, demand action, and lead to meaningful changes.",0
48,48,14-0-2,14-0,14,FactQ,"Aubree mentioned that her high school experience strengthened her core political belief in equality and justice. She was involved in student protests, fighting for the rights of all students, not just a select few. This experience taught her the importance of collective action. There's no mention of Juliette or Jamie's experiences with high school activism.",Aubree organized student walkouts to protest policy changes.,0
49,49,14-0-3,14-0,14,FactQ,"When Jamie rejoined the conversation, they discussed their experiences in contributing to elections and political activities. This included volunteering for campaign activities, working on voter education initiatives, organizing rallies and debates, and the importance of such activities in fostering mutual understanding and shared experiences.","After Jamie rejoined, the conversation discussed experiences contributing to elections and current events, including racial equality, the climate emergency, and the pandemic.",0
50,50,14-0-4,14-0,14,FactQ,"Aubree has volunteered for several campaign activities such as door-to-door canvassing, registering voters, and making campaign calls. Jamie volunteered in an election cycle, working mainly on voter education initiatives. Juliette recalls helping to organize rallies and debates during her university days.","Juliette organized rallies and debates, Aubree volunteered for campaign activities like canvassing and registering voters, and Jamie worked on voter education initiatives.",0
51,51,15-0-0,15-0,15,FactQ,"Nyla and Roger mentioned several ways social media has benefited businesses. They mentioned that it has reshaped marketing strategies, making it easier and more cost-effective for businesses to advertise and promote their products. This has led to increased sales and profitability. Social media has also expanded the customer base of businesses, allowing them to sell products to customers beyond geographical boundaries. Additionally, the need for managing social media profiles has led to new job opportunities such as social media managers and digital marketing strategists.","Nyla and Roger mentioned that social media reshaped marketing strategies, made businesses more profitable, offered easier and cost-effective advertising, increased sales, and provided a wider audience reach without geographical constraints.",0
52,52,15-0-1,15-0,15,FactQ,"The new job sectors discussed in relation to social media's influence include social media managers, digital marketing strategists, and content creators.","Social media managers, digital marketing strategists, and content creators are new job sectors discussed.",0
53,53,15-1-0,15-1,15,FactQ,"Roger and Hazel discussed several subjects concerning the impact of social media. They talked about how social media allows people to share personal achievements and experiences with distant family and friends, and its role in showcasing talents and nurturing creativity. They also discussed its significance in providing a platform for knowledge expansion by following interesting blogs and joining online communities. Additionally, they discussed social media's influence on the political landscape, its role in democratizing political participation, the spread of misinformation, and the need for regulatory measures.","Roger and Hazel discussed sharing personal achievements and milestones, showcasing talents and creativity, and expanding knowledge through online communities.",0
54,54,15-1-1,15-1,15,FactQ,"Roger and Hazel described social media as a platform that has democratized content creation and talent discovery. They referenced platforms like YouTube, Instagram, and TikTok as catalysts that have given rise to new talent that might not have been discovered otherwise. They mentioned how these platforms have allowed individuals to showcase their talents and creativity to a vast audience, leading to successful careers for many.","Roger and Hazel described social media as providing avenues to showcase talents and creativity, giving rise to new talent, and democratizing content creation and talent discovery.",0
55,55,15-1-2,15-1,15,FactQ,"The conversation touched on the theme of sharing personal achievements and experiences via social media when physical presence isn't possible when Roger mentioned that social media is like carrying your loved ones around in your pocket as you can share your milestones with them. Hazel provided an example of this when she talked about sharing pictures from her graduation ceremony with her grandparents who live in another country. This way, their inability to be there physically didn't feel as bad.","Roger discussed sharing personal achievements and milestones with physically distant family and friends, and Hazel shared about sending graduation pictures to her grandparents abroad.",0
56,56,16-0-0,16-0,16,FactQ,"Willie and Justice were discussing that good friendships, like romantic relationships, require effort, time, and mutual trust. They mentioned that friends are there in your highs and lows, and can sometimes know you better than you know yourself. They also stressed that true friends are those who don't leave you alone in your time of need, and that these friends are rare gems that should be treasured.","Justice said that good friendships require effort, time, and mutual trust, and Willie agreed.",0
57,57,16-0-1,16-0,16,FactQ,The conversation shifted to the topic of family relationships when Jillian joined.,Family relationships.,0
58,58,16-1-0,16-1,16,FactQ,"The group discussion brought up several key aspects for maintaining various types of relationships. In friendships, the importance of consistency, loyalty, effort, mutual trust, and being there for each other in highs and lows was emphasized. Regarding family relationships, the group highlighted the roots these relationships provide, the unconditional love and acceptance they encompass, the opportunity for growth within conflicts and disagreements, and the importance of open communication. In romantic relationships, they discussed the necessity of work, compromise, mutual respect, vulnerability, trust, and being able to navigate both the good and bad times. The complexity and potential of romantic relationships were also brought up as significant aspects.","Effort, time, mutual trust, respect, communication, and support were highlighted as important.",0
59,59,16-1-1,16-1,16,FactQ,"The group viewed conflict in family relationships as an opportunity for growth and deeper understanding of each other. Although tough, these disagreements can strengthen the bond between the family members, provided they are handled with open and honest communication. Everyone's perspective should be heard and acknowledged. Despite these conflicts, a family still provides a sense of safety and unconditional love.","Conflicts and disagreements in family relationships, though tough, provide an opportunity to grow and understand each other deeper.",0
60,60,16-1-2,16-1,16,FactQ,"Some complexities associated with romantic relationships discussed by Willie, Justice, and Jillian included the requirement of vulnerability and trust, the possibility of hurt, the need for compromise, mutual respect, and work. On the other hand, the rewards they mentioned included joy, a deep connection, shared experiences, navigating the mundane together and finding joy in each other's company. They also mentioned that romantic relationships have the potential to both challenge us and bring out the best in us.","Romantic relationships require work, compromise, mutual respect, vulnerability, and trust, yet offer joy, deep connection, and shared experiences.",0
61,61,17-0-0,17-0,17,FactQ,"Mckenna's favorite school memory was when she participated in her first school play, playing the role of Juliet from Romeo and Juliet. Zachery's favorite memory was when he was part of the school's chess team which participated in and won a nationwide tournament.","Mckenna's favorite memory was participating in her first school play as Juliet, and Zachery's was winning a nationwide chess tournament with his school team.",0
62,62,17-0-1,17-0,17,FactQ,"Mckenna mentioned learning skills of expressing and understanding emotions from acting in a school play. Zachery pointed out problem-solving skills, which he developed from playing chess. Blake didn't mention specific skills but indicated a strong inclination towards problem-solving as well, which he hoped to apply to law.","They mentioned learning problem-solving, expressing and understanding emotions, strategy, intelligence, understanding concepts, art rules and techniques, expressing oneself freely, and creating from scratch.",0
63,63,17-1-0,17-1,17,FactQ,"Mckenna shared her memory of participating in a school play, where she played the role of Juliet from Romeo and Juliet. She plans to pursue a career in theater and drama.","Mckenna's favorite school memory was playing Juliet in her first school play, and she plans to pursue a career in theater and drama.",0
64,64,17-1-1,17-1,17,FactQ,"Zachery plans to venture into computer science for his academic study, and he mentioned the accomplishment of his school's chess team winning a nationwide tournament as his memorable school event.",Zachery plans to study computer science and his chess team won a nationwide tournament.,0
65,65,17-1-2,17-1,17,FactQ,Blake is considering pursuing a career in law.,Law.,0
66,66,18-0-0,18-0,18,FactQ,"Gabriela's favorite way to prepare meals is grilling, and her preferred dish is grilled salmon.","Gabriela's favorite way to prepare meals is grilling, and her preferred dish is grilled salmon.",1
67,67,18-0-1,18-0,18,FactQ,"Mia enjoys roasting as her cooking method and her favorite recipe is a classic roast chicken with a twist: stuffing the chicken with lemon and garlic, and coating the outside with a mixture of honey and soy sauce.","Mia enjoys roasting, and her favorite recipe is a classic roast chicken with a twist.",0
68,68,18-0-2,18-0,18,FactQ,"Gabriela uses lemon juice, olive oil, garlic, and fresh herbs for her salmon marinade. Mia uses a mixture of honey and soy sauce to coat her chicken.","Gabriela uses lemon juice, olive oil, garlic, and fresh herbs for her salmon marinade, while Mia coats her chicken with honey and soy sauce.",0
69,69,18-1-0,18-1,18,FactQ,Mia and Emily decided to do a restaurant swap together.,They decided to plan a restaurant swap.,0
70,70,18-1-1,18-1,18,FactQ,"Mia recommended the carbonara and homemade tiramisu from her favorite Italian restaurant, and Emily recommended the salmon nigiri from her favorite Japanese sushi bar.",Mia recommended carbonara and Emily recommended salmon nigiri.,0
71,71,18-1-2,18-1,18,FactQ,"Mia was supposed to try a Japanese sushi restaurant, and Emily was supposed to try an Italian restaurant.","Mia was supposed to try a Japanese sushi bar, and Emily was supposed to try an Italian restaurant.",0
72,72,19-0-0,19-0,19,FactQ,"The main topics of discussion before Tessa joined were the economic impact of sports on cities and countries, the job opportunities that sports generate, the role of sports in tourism, and the favorite sports of Craig and Mikayla.",The economic impact of sports and their favorite sports.,0
73,73,19-0-1,19-0,19,FactQ,"Upon Tessa's arrival, the focus of the conversation shifted from the economic impact of sports and personal favorite sports to the impact of controversies and scandals in sports on fans.","The conversation shifted from the economic impact of sports and personal favorite sports to the impact of controversies and scandals in sports, and the role of favorite athletes.",0
74,74,19-0-2,19-0,19,FactQ,The economic impact of sports was not discussed once Tessa joined the conversation.,The economic impact of sports was not discussed once Tessa joined the conversation.,1
75,75,20-0-0,20-0,20,FactQ,"Sarah and Fiona discussed Audrey Hepburn, Rihanna, Princess Diana, Victoria Beckham, Camila Coelho, Chiara Ferragni, and Alexa Chung as their fashion icons.","Sarah and Fiona discussed Audrey Hepburn, Rihanna, Princess Diana, Victoria Beckham, Camila Coelho, Chiara Ferragni, and Alexa Chung.",0
