STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,"答案
ANSWER"
"The little boy Tom finds some money on his way home from school. He is very happy and starts to think about how to use this money. As he walks, he meets an aunt. The aunt says to him, ""Tom, if you help me pick apples, I give you some money."" So Tom decides to stay at the aunt's house to help pick apples.",What does Tom do after he helps the aunt pick apples?,Tom goes to the park to play.,Tom goes to the store to buy things.,Tom helps the aunt make apple pie.,Tom donates the money to a charity.,B
"The little boy Mark always wants to eat a hamburger at lunchtime. When he walks to the school cafeteria to buy a hamburger, his good friend Lenny comes to him and says, ""Mark, if you help me answer a few questions on my math homework, I give you a hamburger."" So Mark decides to help Lenny with his math homework.",What does Mark do after he helps Lenny finish his math homework?,Mark continues to go to the cafeteria to buy a hamburger,Mark eats the hamburger from Lenny,Mark goes to the library to read,Mark goes to the playground to play,B
"The little girl Susan wants to eat the sweet chocolate cookies she makes yesterday, but her friend invites her to swim. Susan decides to put the cookies back in the refrigerator, then goes swimming with her friend.",What does Susan do after she comes home from swimming with her friend?,Susan eats her chocolate cookies.,Susan goes swimming again.,Susan starts making new chocolate cookies.,Susan goes to sleep.,A
"The little girl Amy likes to draw usually, she always wants to buy a new box of colored pencils. One day, she picks up some money on campus. She is very excited and prepares to use this money to buy colored pencils. However, when she passes by the school's animal rescue club, the club president tells her that if she donates some money, they give her a cute little pendant. Amy decides to donate the money to the animal rescue club.",What does Amy do after she donates the money to the animal rescue club?,Amy no longer goes to buy colored pencils.,Amy continues to look for lost money on campus.,Amy walks into the store to choose colored pencils.,Amy continues to participate in the animal rescue club.,A
"The little boy George really likes to eat chocolate. He receives birthday pocket money from his grandparents and plans to go to the convenience store to buy a big chocolate. As he walks through the park, he sees a playground facility, where the staff tells him: ""If you are willing to use your pocket money to participate in the game, you may win a super toy."" George decides to try his luck and uses his pocket money to participate in the game.",What does George do after he finishes the game?,George does not go to the convenience store to buy chocolate.,George participates in the playground game again.,George goes to the convenience store to buy chocolate.,George goes home and then shares his super toy with his family.,A
"College student Li Lei plans to go to Europe for a free trip during the summer vacation. He saves some money for this, and looks for travel guides, prepares to buy plane tickets and book hotels. Then his friend Xiao Wang tells him that a charity organization is going to some poor areas in Africa to do volunteer service, but needs to raise some funds. Li Lei is very moved and decides to participate in this activity.","After Li Lei participates in the volunteer activity, what does he do?",Li Lei no longer plans to go to Europe for a free trip.,Li Lei continues to plan to go to Europe for a free trip.,Li Lei goes to Europe and Africa at the same time.,Li Lei plans to work for the charity organization in the future.,A
"Fred is an old man who likes garden work. One morning, he finds a stray kitten in his garden at home. A strong sense of compassion makes him decide to adopt this kitten. However, when he just prepares food for the kitten, he finds that his flowers and plants are about to die. His neighbor happens to come over and asks him: ""If you go to the convenience store to buy something for me, I can help you take care of these plants."" Fred decides to go to the convenience store.",What does Fred do after he fulfills the neighbor's request?,Fred feeds the food to the kitten.,Fred continues to take care of the flowers and plants himself.,Fred goes to find more stray cats.,Fred goes to ask other neighbors to help take care of the flowers and plants.,A
"The little boy Li Lei plans to use the saved money to go to the zoo to see penguins. However, on the way to the zoo, he sees a toy store that sells electric racing car models. The shop owner tells him that if he uses that money to buy a racing car model, he also gets a flashlight for free. Li Lei is too excited and decides to spend money to buy this electric racing car model.","After Li Lei buys the electric racing car model, what does he do?",Li Lei goes to the zoo to see penguins.,Li Lei no longer goes to the zoo to see penguins.,Li Lei takes the electric racing car model to the zoo.,Li Lei uses the flashlight to go to the zoo to see penguins.,B
"College student Jack is about to face the final exam, so he plans to stay in the dormitory to review the courses that are behind schedule over the weekend. However, when his friends invite him to outdoor activities, he agrees to their invitation.",What does Jack do after the outdoor activities with his friends end?,Jack returns to the dormitory to study.,Jack continues to make plans with his friends to go outdoors another day.,Jack goes to the library to read books.,Jack starts preparing for the next outdoor activity.,A
"The young girl Amy is painting in her dormitory. Amy is very passionate about painting, she always desires to complete a watercolor painting. Suddenly, her friend Lisa comes to find her, Lisa says: ""Amy, we are about to do sports activities, do you come with us?"" Amy glares at the drawing board, hesitates for a moment, but in the end, she decides to put down the paintbrush and go to do sports activities with Lisa.",What does Amy do after she finishes sports activities?,Amy returns to the dormitory to continue her watercolor painting.,Amy goes to the library to read books.,Amy goes to the cafeteria to eat.,Amy goes shopping on the street.,A
