STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.",Where is the cabbage now?,Backpack,Handbag,Tote bag,Briefcase,A
"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.",Where is the cabbage before?,Tote bag,Handbag,Briefcase,Backpack,B
"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.","After Xiaoming returns to the bedroom, where does Xiaogang look for the cabbage?",Backpack,Briefcase,Handbag,Tote bag,A
"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.","After Xiaoming returns to the bedroom, where does Xiaoming look for the cabbage?",Briefcase,Suitcase,Backpack,Handbag,D
"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.","After Xiaoming returns to the bedroom, where does Xiaogang think Xiaoming looks for the cabbage?",Backpack,Handbag,Crossbody bag,Briefcase,B
"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.","After Xiao Ming returns to the bedroom, where does Xiao Ming think Xiao Gang looks for the cabbage?",Hand suitcase,Handbag,Briefcase,Backpack,B
"Li Lei and Han Meimei are wandering in the living room, they see the cabinet, box and handbag, they find a sweatshirt in the cabinet, Han Meimei leaves the living room, Li Lei moves the sweatshirt to the handbag.",Where is the sweatshirt now?,Briefcase,Box,Cabinet,Handbag,D
"Li Lei and Han Meimei are wandering in the living room, they see the cabinet, box and handbag, they find a sweatshirt in the cabinet, Han Meimei leaves the living room, Li Lei moves the sweatshirt to the handbag.",Where is the sweatshirt before?,Cabinet,Box,Basket,Handbag,A
"Li Lei and Han Meimei are wandering in the living room, they see the cabinet, box and handbag, they find a sweatshirt in the cabinet, Han Meimei leaves the living room, Li Lei moves the sweatshirt to the handbag.",Where does Li Lei look for the sweatshirt after Han Meimei returns to the living room?,Handbag,Cabinet,Case,Box,A
"Li Lei and Han Meimei are wandering in the living room, they see the cabinet, box and handbag, they find a sweatshirt in the cabinet, Han Meimei leaves the living room, Li Lei moves the sweatshirt to the handbag.","After Han Meimei returns to the living room, where does Han Meimei look for the sweatshirt?",Cabinet,Handbag,Box,Tote bag,A
"Li Lei and Han Meimei are wandering in the living room, they see the cabinet, box and handbag, they find a sweatshirt in the cabinet, Han Meimei leaves the living room, Li Lei moves the sweatshirt to the handbag.","After Han Meimei returns to the living room, where does Li Lei think Han Meimei looks for the sweatshirt?",Box,Cabinet,Handbag,Wardrobe,D
"Li Lei and Han Meimei are wandering in the living room, they see the cabinet, box and handbag, they find a sweatshirt in the cabinet, Han Meimei leaves the living room, Li Lei moves the sweatshirt to the handbag.","After Han Meimei returns to the living room, where does Han Meimei think Li Lei looks for the sweatshirt?",Cabinet,Box,Handbag,Backpack,A
"Xiao Li and Youyou are wandering in the basement, they see a suitcase, a backpack, and a storage locker, they find a hat in the suitcase, Youyou leaves the basement, Xiao Li moves the hat to the storage locker.",Where is the hat now?,Backpack,Suitcase,Storage locker,Cabinet,C
"Xiao Li and Youyou are wandering in the basement, they see a suitcase, a backpack, and a storage locker, they find a hat in the suitcase, Youyou leaves the basement, Xiao Li moves the hat to the storage locker.",Where is the hat before?,Storage locker,Backpack,Drawer,Suitcase,D
"Xiao Li and Youyou are wandering in the basement, they see a suitcase, a backpack, and a storage locker, they find a hat in the suitcase, Youyou leaves the basement, Xiao Li moves the hat to the storage locker.","After Youyou returns to the basement, where does Xiao Li look for the hat?",Suitcase,Storage locker,Backpack,Basket,B
